[2020/04/26 17:35:57] - Namespace(attack='pgd', attack_iters=10, attack_iters_test=20, awp_iter=1, awp_size=0.01, awp_warmup=0, batch_size=128, chkpt_iters=10, cutout=False, cutout_len=None, data_dir='../../../data', epochs=200, epsilon=8, fname='experiments/cifar100_linf/awp(0.01)', half=False, l1=0, l2=0, lr_max=0.1, lr_schedule='piecewise', mixup=False, mixup_alpha=None, model='PreActResNet18', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, width_factor=10)
[2020/04/26 17:35:59] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2020/04/26 17:42:07] - 0 	 277.8 	 	 90.2 	 	 0.1000 	 4.6046 	 0.0126 	 4.6406 	 	 0.0075 	 	 4.5990 	 0.0134 	 4.6021 	 	 0.0120
[2020/04/26 17:48:15] - 1 	 278.1 	 	 89.8 	 	 0.1000 	 4.4369 	 0.0302 	 4.5304 	 	 0.0200 	 	 4.2909 	 0.0376 	 4.3879 	 	 0.0309
[2020/04/26 17:54:23] - 2 	 277.9 	 	 89.9 	 	 0.1000 	 4.1927 	 0.0540 	 4.3897 	 	 0.0317 	 	 4.1137 	 0.0680 	 4.2505 	 	 0.0504
[2020/04/26 18:00:30] - 3 	 277.7 	 	 89.9 	 	 0.1000 	 4.0656 	 0.0780 	 4.3038 	 	 0.0447 	 	 3.9761 	 0.0843 	 4.1589 	 	 0.0635
[2020/04/26 18:06:38] - 4 	 277.9 	 	 89.9 	 	 0.1000 	 3.9305 	 0.1010 	 4.2217 	 	 0.0559 	 	 3.8479 	 0.1097 	 4.0815 	 	 0.0791
[2020/04/26 18:12:46] - 5 	 278.0 	 	 90.0 	 	 0.1000 	 3.8013 	 0.1286 	 4.1509 	 	 0.0655 	 	 3.6935 	 0.1382 	 3.9653 	 	 0.0938
[2020/04/26 18:18:54] - 6 	 278.1 	 	 89.9 	 	 0.1000 	 3.6779 	 0.1536 	 4.0843 	 	 0.0755 	 	 3.5972 	 0.1623 	 3.9201 	 	 0.1048
[2020/04/26 18:25:02] - 7 	 278.1 	 	 90.0 	 	 0.1000 	 3.5793 	 0.1738 	 4.0297 	 	 0.0831 	 	 3.4723 	 0.1750 	 3.8442 	 	 0.1127
[2020/04/26 18:31:10] - 8 	 278.0 	 	 90.0 	 	 0.1000 	 3.5021 	 0.1911 	 3.9914 	 	 0.0906 	 	 3.4221 	 0.1983 	 3.7912 	 	 0.1310
[2020/04/26 18:37:18] - 9 	 278.0 	 	 89.9 	 	 0.1000 	 3.4307 	 0.2057 	 3.9559 	 	 0.0967 	 	 3.3934 	 0.2069 	 3.7836 	 	 0.1251
[2020/04/26 18:43:26] - 10 	 277.9 	 	 89.9 	 	 0.1000 	 3.3611 	 0.2222 	 3.9214 	 	 0.1031 	 	 3.2689 	 0.2338 	 3.7099 	 	 0.1413
[2020/04/26 18:49:34] - 11 	 277.7 	 	 89.9 	 	 0.1000 	 3.2868 	 0.2362 	 3.8878 	 	 0.1058 	 	 3.2188 	 0.2511 	 3.6834 	 	 0.1492
[2020/04/26 18:55:41] - 12 	 277.6 	 	 89.7 	 	 0.1000 	 3.2218 	 0.2535 	 3.8600 	 	 0.1126 	 	 3.1024 	 0.2766 	 3.5984 	 	 0.1630
[2020/04/26 19:01:49] - 13 	 277.9 	 	 89.9 	 	 0.1000 	 3.1568 	 0.2686 	 3.8302 	 	 0.1179 	 	 3.0674 	 0.2756 	 3.5811 	 	 0.1622
[2020/04/26 19:07:57] - 14 	 277.9 	 	 89.9 	 	 0.1000 	 3.1053 	 0.2810 	 3.8064 	 	 0.1205 	 	 3.0039 	 0.2925 	 3.5275 	 	 0.1748
[2020/04/26 19:14:05] - 15 	 278.0 	 	 90.0 	 	 0.1000 	 3.0540 	 0.2912 	 3.7793 	 	 0.1240 	 	 2.9376 	 0.2994 	 3.5219 	 	 0.1795
[2020/04/26 19:20:12] - 16 	 277.9 	 	 89.9 	 	 0.1000 	 3.0134 	 0.3000 	 3.7605 	 	 0.1265 	 	 2.9398 	 0.3013 	 3.5008 	 	 0.1774
[2020/04/26 19:26:20] - 17 	 278.1 	 	 89.9 	 	 0.1000 	 2.9777 	 0.3103 	 3.7440 	 	 0.1318 	 	 2.9152 	 0.3050 	 3.4810 	 	 0.1837
[2020/04/26 19:32:28] - 18 	 277.8 	 	 89.8 	 	 0.1000 	 2.9542 	 0.3189 	 3.7341 	 	 0.1325 	 	 2.8590 	 0.3252 	 3.4406 	 	 0.1877
[2020/04/26 19:38:35] - 19 	 277.8 	 	 89.8 	 	 0.1000 	 2.9231 	 0.3259 	 3.7192 	 	 0.1362 	 	 2.8515 	 0.3244 	 3.4256 	 	 0.1986
[2020/04/26 19:44:43] - 20 	 277.8 	 	 89.8 	 	 0.1000 	 2.8964 	 0.3315 	 3.7025 	 	 0.1397 	 	 2.7791 	 0.3336 	 3.3871 	 	 0.1948
[2020/04/26 19:50:51] - 21 	 277.7 	 	 89.8 	 	 0.1000 	 2.8789 	 0.3365 	 3.6977 	 	 0.1417 	 	 2.7916 	 0.3389 	 3.3937 	 	 0.1981
[2020/04/26 19:56:58] - 22 	 278.0 	 	 89.8 	 	 0.1000 	 2.8530 	 0.3428 	 3.6852 	 	 0.1395 	 	 2.7548 	 0.3360 	 3.3862 	 	 0.1949
[2020/04/26 20:03:06] - 23 	 278.1 	 	 90.0 	 	 0.1000 	 2.8404 	 0.3467 	 3.6810 	 	 0.1422 	 	 2.7213 	 0.3593 	 3.3465 	 	 0.2077
[2020/04/26 20:09:14] - 24 	 278.1 	 	 89.9 	 	 0.1000 	 2.8184 	 0.3497 	 3.6692 	 	 0.1426 	 	 2.7342 	 0.3348 	 3.3703 	 	 0.1973
[2020/04/26 20:15:22] - 25 	 277.9 	 	 89.8 	 	 0.1000 	 2.8006 	 0.3550 	 3.6625 	 	 0.1459 	 	 2.7495 	 0.3438 	 3.3762 	 	 0.1983
[2020/04/26 20:21:30] - 26 	 278.0 	 	 89.8 	 	 0.1000 	 2.7835 	 0.3570 	 3.6532 	 	 0.1468 	 	 2.7440 	 0.3556 	 3.3605 	 	 0.2042
[2020/04/26 20:27:37] - 27 	 277.7 	 	 89.7 	 	 0.1000 	 2.7692 	 0.3620 	 3.6448 	 	 0.1487 	 	 2.7540 	 0.3440 	 3.3608 	 	 0.2042
[2020/04/26 20:33:45] - 28 	 277.7 	 	 89.8 	 	 0.1000 	 2.7583 	 0.3650 	 3.6417 	 	 0.1496 	 	 2.6515 	 0.3674 	 3.3129 	 	 0.2129
[2020/04/26 20:39:53] - 29 	 278.1 	 	 89.8 	 	 0.1000 	 2.7464 	 0.3685 	 3.6349 	 	 0.1496 	 	 2.6785 	 0.3585 	 3.3405 	 	 0.2097
[2020/04/26 20:46:01] - 30 	 278.0 	 	 89.9 	 	 0.1000 	 2.7367 	 0.3734 	 3.6318 	 	 0.1517 	 	 2.6845 	 0.3641 	 3.3193 	 	 0.2115
[2020/04/26 20:52:09] - 31 	 278.2 	 	 90.1 	 	 0.1000 	 2.7281 	 0.3733 	 3.6292 	 	 0.1500 	 	 2.6627 	 0.3653 	 3.3106 	 	 0.2173
[2020/04/26 20:58:17] - 32 	 278.3 	 	 89.9 	 	 0.1000 	 2.7177 	 0.3786 	 3.6220 	 	 0.1515 	 	 2.6766 	 0.3573 	 3.3127 	 	 0.2089
[2020/04/26 21:04:25] - 33 	 278.1 	 	 89.8 	 	 0.1000 	 2.7100 	 0.3770 	 3.6192 	 	 0.1522 	 	 2.6796 	 0.3700 	 3.3020 	 	 0.2214
[2020/04/26 21:10:33] - 34 	 278.0 	 	 89.8 	 	 0.1000 	 2.6961 	 0.3836 	 3.6111 	 	 0.1538 	 	 2.6079 	 0.3754 	 3.2929 	 	 0.2118
[2020/04/26 21:16:41] - 35 	 278.0 	 	 89.8 	 	 0.1000 	 2.6889 	 0.3843 	 3.6128 	 	 0.1541 	 	 2.6506 	 0.3741 	 3.3093 	 	 0.2155
