[2020/04/26 17:33:18] - Namespace(attack='pgd', attack_iters=10, attack_iters_test=20, awp_iter=0, awp_size=0, awp_warmup=0, batch_size=128, chkpt_iters=10, cutout=False, cutout_len=None, data_dir='../../../data', epochs=200, epsilon=8, fname='experiments/cifar100_linf/baseline', half=False, l1=0, l2=0, lr_max=0.1, lr_schedule='piecewise', mixup=False, mixup_alpha=None, model='PreActResNet18', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, width_factor=10)
[2020/04/26 17:33:40] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2020/04/26 17:39:48] - 0 	 271.3 	 	 96.4 	 	 0.1000 	 4.2064 	 0.0569 	 4.3819 	 	 0.0389 	 	 3.9769 	 0.0841 	 4.1926 	 	 0.0589
[2020/04/26 17:45:57] - 1 	 272.3 	 	 96.9 	 	 0.1000 	 3.8251 	 0.1190 	 4.1227 	 	 0.0708 	 	 3.7013 	 0.1401 	 4.0195 	 	 0.0883
[2020/04/26 17:52:05] - 2 	 272.0 	 	 96.4 	 	 0.1000 	 3.6054 	 0.1620 	 3.9868 	 	 0.0897 	 	 3.5323 	 0.1668 	 3.8982 	 	 0.1015
[2020/04/26 17:58:13] - 3 	 271.8 	 	 96.2 	 	 0.1000 	 3.4581 	 0.1922 	 3.8962 	 	 0.1058 	 	 3.4117 	 0.1911 	 3.8585 	 	 0.1150
[2020/04/26 18:03:58] - 4 	 255.5 	 	 89.4 	 	 0.1000 	 3.3391 	 0.2166 	 3.8267 	 	 0.1173 	 	 3.3208 	 0.2061 	 3.8359 	 	 0.1244
[2020/04/26 18:09:40] - 5 	 252.3 	 	 89.4 	 	 0.1000 	 3.2256 	 0.2421 	 3.7642 	 	 0.1267 	 	 3.1468 	 0.2469 	 3.6698 	 	 0.1484
[2020/04/26 18:15:22] - 6 	 252.4 	 	 89.5 	 	 0.1000 	 3.1165 	 0.2627 	 3.7031 	 	 0.1380 	 	 3.0748 	 0.2649 	 3.6555 	 	 0.1492
[2020/04/26 18:21:04] - 7 	 252.8 	 	 89.5 	 	 0.1000 	 3.0192 	 0.2877 	 3.6490 	 	 0.1472 	 	 2.9379 	 0.2806 	 3.5846 	 	 0.1630
[2020/04/26 18:26:47] - 8 	 253.0 	 	 89.6 	 	 0.1000 	 2.9424 	 0.3031 	 3.6053 	 	 0.1540 	 	 2.8575 	 0.3085 	 3.5204 	 	 0.1769
[2020/04/26 18:32:29] - 9 	 253.0 	 	 89.5 	 	 0.1000 	 2.8853 	 0.3169 	 3.5742 	 	 0.1579 	 	 2.8692 	 0.3108 	 3.5336 	 	 0.1698
