[2020/04/27 12:22:28] - Namespace(attack='pgd', attack_iters=10, attack_iters_test=20, awp_iter=0, awp_size=0, awp_warmup=0, batch_size=128, chkpt_iters=10, cutout=False, cutout_len=None, data_dir='../../data', epochs=200, epsilon=128, eval=False, fgsm_alpha=1.25, fgsm_init='random', fname='experiments/cifar10_l2/baseline', half=False, l1=0, l2=0, lr_drop_epoch=100, lr_max=0.1, lr_one_drop=0.01, lr_schedule='piecewise', mixup=False, mixup_alpha=None, model='PreActResNet18', norm='l_2', pgd_alpha=15.0, restarts=1, resume=0, seed=0, val=False, width_factor=10)
[2020/04/27 12:33:22] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2020/04/27 12:43:48] - 0 	 519.1 	 	 107.0 	 	 0.1000 	 1.7276 	 0.3615 	 1.9358 	 	 0.2717 	 	 1.5017 	 0.4488 	 1.7274 	 	 0.3451
[2020/04/27 12:50:06] - 1 	 276.9 	 	 99.0 	 	 0.1000 	 1.3988 	 0.4982 	 1.6756 	 	 0.3671 	 	 1.2695 	 0.5445 	 1.5488 	 	 0.4092
[2020/04/27 12:56:22] - 2 	 277.1 	 	 99.0 	 	 0.1000 	 1.1932 	 0.5825 	 1.5258 	 	 0.4237 	 	 1.1504 	 0.5996 	 1.4884 	 	 0.4433
[2020/04/27 13:02:38] - 3 	 277.0 	 	 98.9 	 	 0.1000 	 1.0472 	 0.6445 	 1.4150 	 	 0.4655 	 	 0.9860 	 0.6561 	 1.3597 	 	 0.4825
[2020/04/27 13:08:54] - 4 	 277.0 	 	 99.0 	 	 0.1000 	 0.9372 	 0.6918 	 1.3281 	 	 0.5010 	 	 0.9182 	 0.6985 	 1.2784 	 	 0.5236
[2020/04/27 13:15:10] - 5 	 277.0 	 	 98.9 	 	 0.1000 	 0.8678 	 0.7236 	 1.2732 	 	 0.5199 	 	 0.8849 	 0.7022 	 1.2629 	 	 0.5197
[2020/04/27 13:21:26] - 6 	 277.0 	 	 98.8 	 	 0.1000 	 0.8134 	 0.7439 	 1.2303 	 	 0.5370 	 	 0.7963 	 0.7346 	 1.2098 	 	 0.5469
[2020/04/27 13:27:42] - 7 	 277.0 	 	 98.9 	 	 0.1000 	 0.7662 	 0.7611 	 1.1930 	 	 0.5495 	 	 0.7734 	 0.7502 	 1.1639 	 	 0.5669
[2020/04/27 13:33:58] - 8 	 276.8 	 	 98.9 	 	 0.1000 	 0.7298 	 0.7766 	 1.1648 	 	 0.5602 	 	 0.7465 	 0.7473 	 1.1682 	 	 0.5615
[2020/04/27 13:40:14] - 9 	 276.9 	 	 99.0 	 	 0.1000 	 0.7034 	 0.7894 	 1.1443 	 	 0.5671 	 	 0.7301 	 0.7524 	 1.1687 	 	 0.5621
