epoch,time(s),train_loss,test_loss,test_error(%)
001,13504,6.262837,5.70935,94.84
002,13478,6.100398,5.39476,91.70
003,13432,6.045473,5.32274,90.74
004,13425,5.958928,5.24914,90.53
005,13467,5.947848,5.17686,89.68
006,13407,5.957418,5.13457,89.58
007,13392,5.873913,5.14756,89.53
008,13393,5.897561,5.15567,89.31
009,13396,5.900799,5.10090,88.81
010,13410,5.868875,5.09888,89.10
011,13403,5.924943,5.12611,89.30
012,13471,5.925435,5.10132,88.86
013,13400,5.930394,5.10629,88.88
014,13409,5.913383,5.11313,88.91
015,13473,5.880159,5.10310,88.93
016,13363,5.899942,5.05619,88.67
017,13362,5.869344,5.07050,88.74
018,13507,5.900737,5.10011,88.48
019,13823,5.937033,5.08326,88.85
020,17983,5.845304,5.06626,88.39
021,13406,5.912551,5.09708,88.64
022,13301,5.903934,5.05698,88.23
023,13284,5.887220,5.04419,88.15
024,13416,5.918295,5.01039,88.08
025,13789,5.824530,4.99349,87.97
026,13559,5.847452,4.99846,87.85
027,13427,5.858051,4.97598,87.53
028,13349,5.848763,5.02719,87.56
029,13310,5.833310,4.92085,86.98
030,13326,5.835802,4.97012,87.51
031,13529,5.859979,4.93445,87.28
032,13526,5.789157,4.95828,87.38
033,13564,5.811487,4.89175,87.03
034,13562,5.849825,4.91432,86.65
035,13374,5.837746,4.91600,87.08
036,13369,5.796652,4.90146,86.67
037,13456,5.788458,4.94936,87.08
038,13534,5.760129,4.91414,87.01
039,13565,5.845274,4.88854,86.81
040,13441,5.822338,4.86591,86.36
041,13411,5.797719,4.88177,86.82
042,13417,5.742875,4.82487,85.56
043,13497,5.722852,4.86775,86.20
044,13567,5.738082,4.82186,85.68
045,13613,5.707739,4.83741,85.54
046,13501,5.713610,4.80444,85.61
047,13495,5.675750,4.78069,85.42
048,13490,5.775828,4.75739,85.20
049,13491,5.667507,4.79775,85.40
050,13553,5.733250,4.70888,84.63
051,13672,5.754416,4.73981,84.67
052,13588,5.724611,4.70611,84.58
053,13507,5.671052,4.72882,84.42
054,13414,5.634706,4.69053,84.16
055,13421,5.641078,4.68542,83.96
056,13549,5.688238,4.69142,83.96
057,13669,5.633845,4.68281,83.90
058,13702,5.612994,4.62647,83.24
059,13417,5.625243,4.59674,82.99
060,13352,5.579657,4.61180,82.91
061,13354,5.581429,4.58110,82.72
062,13369,5.593446,4.60574,82.52
063,13536,5.542700,4.54752,82.44
064,13429,5.581538,4.50747,81.86
065,13636,5.487951,4.56265,82.07
066,13586,5.506760,4.45595,81.07
067,13443,5.478491,4.46323,80.96
068,13446,5.414047,4.44614,81.06
069,13502,5.460073,4.41450,81.01
070,13656,5.456221,4.38778,80.07
071,13529,5.471148,4.39731,80.03
072,13547,5.417241,4.37985,79.61
073,13424,5.438255,4.35031,79.55
074,13421,5.399331,4.31458,79.18
075,13420,5.403192,4.26010,78.71
076,13442,5.373521,4.21446,77.92
077,13608,5.279699,4.23003,77.82
078,13645,5.360761,4.18300,77.52
079,13457,5.263746,4.15360,77.16
080,13395,5.240515,4.14742,76.81
081,13395,5.268608,4.18138,76.99
082,13546,5.307357,4.04453,75.67
083,13571,5.150382,4.15342,76.27
084,13577,5.256709,4.05671,75.52
085,13528,5.125585,4.05054,75.29
086,13391,5.111961,3.95962,74.20
087,13394,5.083492,4.00711,74.76
088,13456,5.077254,3.95135,73.69
089,13529,5.068392,3.89378,73.53
090,13518,5.047016,3.86527,72.75
091,13548,5.021177,3.83509,72.57
092,13412,5.021609,3.81276,72.31
093,13408,4.956452,3.82352,71.97
094,13448,4.775796,3.81743,71.69
095,13608,4.869480,3.77434,71.31
096,13598,4.704545,3.73122,70.83
097,13653,4.872096,3.73348,70.81
098,13509,4.663260,3.70599,70.49
099,13400,4.803599,3.71480,70.48
100,13400,4.738544,3.68556,70.25
