epoch,time(s),train_loss,test_loss,test_error(%)
001,00020,1.293208,1.56187,51.11
002,00019,0.958236,1.10740,37.79
003,00019,0.811563,0.84561,29.84
004,00019,0.720048,0.80452,27.74
005,00019,0.606019,0.69187,23.82
006,00019,0.653140,0.69489,23.66
007,00019,0.606931,0.67565,22.76
008,00019,0.586457,0.72572,24.02
009,00019,0.554367,0.66530,21.87
010,00019,0.535569,0.61623,21.13
011,00019,0.483746,0.63389,20.98
012,00019,0.489400,0.50739,17.12
013,00019,0.497953,0.55064,18.66
014,00019,0.504098,0.53736,18.07
015,00019,0.448802,0.51965,17.47
016,00019,0.493239,0.65961,21.35
017,00019,0.517260,0.62562,19.49
018,00019,0.457092,0.58938,19.60
019,00019,0.478329,0.65863,21.09
020,00019,0.418017,0.45306,15.44
021,00019,0.415428,0.56452,17.92
022,00019,0.418287,0.52378,17.97
023,00019,0.479040,0.43023,14.76
024,00019,0.436093,0.66155,21.66
025,00019,0.387827,0.57105,18.52
026,00019,0.400414,0.54642,17.66
027,00019,0.427200,0.59434,19.88
028,00019,0.430013,0.50112,16.56
029,00019,0.390556,0.45147,15.04
030,00019,0.401570,0.43236,14.79
031,00019,0.410126,0.53255,17.77
032,00019,0.397197,0.41453,14.13
033,00019,0.379489,0.42918,14.41
034,00019,0.369723,0.39748,13.45
035,00019,0.369846,0.42819,14.46
036,00019,0.360211,0.42394,14.31
037,00019,0.384556,0.46296,15.17
038,00020,0.365204,0.47265,15.55
039,00019,0.359699,0.40547,13.55
040,00019,0.381921,0.43687,14.53
041,00019,0.362680,0.47404,15.57
042,00019,0.385705,0.34402,12.07
043,00019,0.317856,0.44743,14.82
044,00019,0.344803,0.45269,14.32
045,00019,0.321848,0.42943,14.37
046,00019,0.317116,0.41703,13.62
047,00019,0.319871,0.36923,12.10
048,00019,0.330280,0.39170,13.22
049,00019,0.274173,0.37640,12.23
050,00019,0.305973,0.49492,15.83
051,00019,0.285658,0.39010,12.75
052,00019,0.305020,0.32475,10.90
053,00019,0.263628,0.37309,12.07
054,00019,0.285746,0.37722,12.19
055,00019,0.265399,0.31244,10.30
056,00019,0.264170,0.31422,10.58
057,00019,0.295322,0.35481,11.75
058,00019,0.246470,0.30247,10.09
059,00019,0.251265,0.31335,10.31
060,00019,0.228411,0.29680,9.93
061,00019,0.246204,0.30854,9.91
062,00019,0.221174,0.33787,11.09
063,00019,0.239082,0.27525,9.22
064,00019,0.235731,0.31690,9.99
065,00019,0.237188,0.31398,10.38
066,00019,0.200839,0.27657,9.19
067,00019,0.206674,0.24491,8.09
068,00019,0.226084,0.24983,8.42
069,00019,0.195690,0.24699,8.24
070,00019,0.180996,0.24157,8.07
071,00019,0.194618,0.30314,10.01
072,00019,0.176339,0.28782,9.00
073,00019,0.156681,0.24845,7.86
074,00019,0.166257,0.22313,7.30
075,00019,0.147754,0.25335,8.01
076,00020,0.125829,0.23867,7.49
077,00020,0.135663,0.23452,7.50
078,00020,0.110182,0.22788,7.02
079,00020,0.118834,0.22716,7.16
080,00020,0.104177,0.21479,7.00
081,00019,0.104026,0.21282,6.53
082,00020,0.084791,0.21898,6.80
083,00020,0.070867,0.21160,6.27
084,00020,0.057885,0.21042,6.34
085,00019,0.061191,0.19824,6.06
086,00020,0.054333,0.20714,6.05
087,00020,0.047986,0.20733,6.01
088,00020,0.044330,0.19956,5.81
089,00020,0.036843,0.19972,5.85
090,00020,0.040505,0.20044,5.64
091,00020,0.035496,0.20053,5.61
092,00020,0.035228,0.20009,5.54
093,00020,0.025118,0.19633,5.38
094,00020,0.026690,0.19621,5.39
095,00020,0.031327,0.19541,5.43
096,00020,0.026559,0.19458,5.28
097,00020,0.028539,0.19362,5.36
098,00020,0.029401,0.19565,5.44
099,00020,0.019916,0.19291,5.26
100,00020,0.025628,0.19563,5.32
