epoch,time(s),train_loss,test_loss,test_error(%)
001,00405,5.561491,5.63604,96.27
002,00415,4.550397,4.70725,89.12
003,00411,3.906577,4.19465,83.08
004,00407,3.750767,3.90077,79.17
005,00405,3.475538,3.66295,75.71
006,00400,3.344438,3.61953,75.53
007,00404,3.295305,3.55936,74.02
008,00406,3.212420,3.47667,72.91
009,00408,3.120444,3.31813,70.40
010,00390,3.080305,3.37115,70.96
011,00400,3.047473,3.27502,69.66
012,00401,3.005536,3.25729,69.48
013,00390,2.890777,3.20661,68.53
014,00390,2.810502,3.16472,67.90
015,00390,2.937221,3.24390,68.45
016,00389,2.904880,3.29784,69.70
017,00394,2.919845,3.12799,67.09
018,00394,2.830887,3.07720,66.52
019,00390,2.717260,3.09047,66.44
020,00389,2.831951,3.16840,67.85
021,00391,2.763310,3.08655,66.56
022,00399,2.799673,3.13546,67.12
023,00400,2.851266,3.06623,66.14
024,00404,2.800039,3.11338,66.70
025,00403,2.752368,3.01493,65.12
026,00399,2.741161,3.03114,65.25
027,00392,2.705725,3.04068,65.35
028,00389,2.718140,2.94229,64.03
029,00396,2.645263,3.01917,65.14
030,00391,2.720860,3.03078,65.53
031,00391,2.724646,2.99155,64.57
032,00392,2.663204,2.94488,63.88
033,00393,2.752560,2.97799,64.46
034,00392,2.760238,2.92474,63.71
035,00392,2.615342,2.96217,64.25
036,00392,2.667362,2.88693,63.04
037,00393,2.617120,2.96160,64.07
038,00392,2.658936,2.85882,62.84
039,00392,2.600856,2.86058,62.79
040,00393,2.644552,2.93094,63.83
041,00392,2.681732,2.85549,62.27
042,00393,2.547251,2.81098,61.69
043,00392,2.487002,2.82754,61.80
044,00392,2.680695,2.79726,61.59
045,00392,2.587746,2.88279,62.49
046,00392,2.577160,2.87197,62.53
047,00395,2.634054,2.81206,61.49
048,00393,2.525880,2.83198,61.91
049,00405,2.536092,2.81027,61.41
050,00398,2.444828,2.81004,61.67
051,00389,2.468304,2.76057,60.58
052,00407,2.501752,2.78362,60.90
053,00410,2.533220,2.73593,59.96
054,00402,2.446757,2.76878,60.86
055,00414,2.455982,2.73795,60.11
056,00399,2.423589,2.70707,59.61
057,00407,2.376814,2.72503,59.99
058,00398,2.338711,2.66419,58.94
059,00394,2.488098,2.69013,59.79
060,00392,2.370454,2.66328,58.99
061,00391,2.476360,2.70216,59.33
062,00392,2.318190,2.66359,58.99
063,00393,2.368740,2.68942,59.52
064,00397,2.274503,2.59034,57.64
065,00396,2.365134,2.59542,57.68
066,00403,2.324809,2.58998,57.73
067,00407,2.384179,2.57659,57.48
068,00411,2.339916,2.59002,57.47
069,00400,2.251303,2.54300,56.87
070,00403,2.264953,2.56114,57.16
071,00401,2.167691,2.51800,56.27
072,00403,2.247349,2.48798,55.81
073,00398,2.270444,2.47326,55.33
074,00400,2.235784,2.48427,55.57
075,00401,2.199987,2.45968,55.12
076,00400,2.162387,2.45075,54.80
077,00405,2.123984,2.44809,54.71
078,00394,2.138759,2.41120,54.27
079,00399,2.116341,2.42376,54.43
080,00403,2.117466,2.42941,54.47
081,00397,2.091832,2.40399,53.86
082,00398,2.001097,2.36532,53.20
083,00412,2.158632,2.36834,53.49
084,00401,2.066860,2.34753,53.14
085,00409,2.026543,2.33702,52.72
086,00395,1.987776,2.32253,52.51
087,00403,1.983818,2.32032,52.25
088,00393,1.985964,2.30978,52.12
089,00403,2.010740,2.29167,51.73
090,00396,1.956923,2.28575,51.71
091,00400,1.896210,2.27244,51.40
092,00403,1.893708,2.26553,51.26
093,00400,1.832115,2.25566,51.11
094,00404,1.860029,2.25045,50.97
095,00401,1.862840,2.24542,50.88
096,00400,1.741696,2.24290,50.84
097,00404,1.830005,2.24204,50.87
098,00406,1.882143,2.23892,50.81
099,00404,1.871776,2.23808,50.71
100,00396,1.858089,2.23888,50.80
