epoch,time(s),train_loss,test_loss,test_error(%)
001,00106,4.269285,4.64011,94.17
002,00099,3.712628,4.16481,86.99
003,00099,3.388632,3.56632,80.51
004,00099,3.309019,3.49160,78.48
005,00099,3.022984,3.26173,73.64
006,00098,3.042473,3.62740,77.69
007,00099,2.872853,3.23744,72.65
008,00098,2.862290,3.00254,69.88
009,00099,2.770936,3.07997,69.71
010,00099,2.743564,3.25698,71.04
011,00099,2.653227,3.51720,75.67
012,00098,2.664857,3.27144,71.62
013,00098,2.638247,2.83420,65.25
014,00098,2.551235,2.84620,65.94
015,00098,2.657806,2.85918,66.63
016,00098,2.639397,3.18389,69.15
017,00099,2.550266,3.15034,69.50
018,00099,2.491924,2.73489,64.37
019,00099,2.524266,3.35527,70.81
020,00098,2.470346,3.03089,68.53
021,00099,2.370600,2.76769,64.55
022,00098,2.470570,2.92804,66.96
023,00098,2.491689,3.21068,67.97
024,00098,2.546024,2.89091,65.75
025,00098,2.267653,2.79793,64.12
026,00098,2.483078,3.18484,69.59
027,00098,2.500492,2.77695,63.47
028,00098,2.440990,2.57817,61.37
029,00098,2.325133,2.73244,62.49
030,00098,2.425943,2.60592,61.60
031,00099,2.304824,2.52862,59.24
032,00099,2.240828,2.67843,62.32
033,00099,2.306862,2.73814,61.88
034,00099,2.268017,2.88136,63.73
035,00099,2.322741,2.57289,59.95
036,00099,2.287320,2.61817,59.52
037,00098,2.256642,2.56684,59.86
038,00099,2.378231,2.88742,64.17
039,00098,2.174549,2.58839,59.76
040,00099,2.310404,2.48533,58.60
041,00099,2.295053,2.62555,59.49
042,00099,2.228750,2.54223,58.56
043,00098,2.183872,2.96553,64.93
044,00099,2.188448,2.37168,55.73
045,00098,2.263573,2.52755,59.50
046,00098,2.226188,2.51709,58.11
047,00098,2.039102,2.43172,57.58
048,00098,2.124692,2.38933,56.96
049,00098,2.191490,2.60357,60.64
050,00098,2.044887,2.39660,57.16
051,00098,2.319145,2.32643,55.73
052,00098,2.142694,2.21569,53.93
053,00098,2.109078,2.24309,53.89
054,00098,2.005770,2.37481,54.65
055,00098,2.114985,2.23112,53.07
056,00098,2.098830,2.24885,53.62
057,00097,2.141695,2.27155,54.94
058,00097,1.980482,2.14111,51.62
059,00098,2.034187,2.30499,55.81
060,00097,1.989407,2.33136,55.01
061,00097,1.862207,2.24662,52.86
062,00098,1.864130,2.10033,50.07
063,00098,1.818045,2.09360,50.57
064,00098,1.920583,2.12212,51.10
065,00099,1.878025,2.16989,51.48
066,00099,1.892779,1.95384,47.74
067,00098,1.758929,2.02134,48.35
068,00098,1.759892,1.99739,48.19
069,00098,1.741511,1.92687,46.48
070,00098,1.894353,1.93442,47.06
071,00098,1.671672,1.90695,46.32
072,00098,1.588673,1.86194,45.15
073,00098,1.580096,1.90594,46.47
074,00098,1.624732,1.90213,45.93
075,00098,1.636527,1.88320,45.08
076,00098,1.569332,1.87039,44.48
077,00098,1.521109,1.75485,43.45
078,00098,1.488689,1.82852,44.37
079,00098,1.478135,1.74976,42.99
080,00098,1.464009,1.66659,40.91
081,00098,1.616327,1.71138,41.53
082,00098,1.354879,1.65863,40.21
083,00098,1.391971,1.63964,40.00
084,00098,1.312961,1.65285,40.28
085,00098,1.212956,1.61393,39.35
086,00098,1.315485,1.60654,39.11
087,00098,1.229816,1.56401,38.77
088,00098,1.173061,1.57630,38.56
089,00099,1.091565,1.55204,38.05
090,00099,1.094561,1.53595,37.62
091,00098,1.114387,1.51798,37.05
092,00098,1.018132,1.51354,37.04
093,00098,0.958141,1.52129,37.20
094,00098,0.951490,1.50247,36.78
095,00099,0.909745,1.49230,36.46
096,00099,0.968637,1.49341,36.50
097,00099,0.992070,1.48678,36.20
098,00099,0.958710,1.48630,36.28
099,00099,0.878822,1.49167,36.25
100,00098,1.001186,1.48759,36.48
