epoch,time(s),train_loss,test_loss,test_error(%)
001,00154,2.720243,2.52588,55.94
002,00147,2.284194,2.00249,47.42
003,00146,1.977247,1.85036,45.15
004,00146,1.846585,1.70007,42.16
005,00146,1.822606,1.62833,40.78
006,00146,1.825271,1.59860,40.41
007,00146,1.577782,1.54974,38.95
008,00146,1.536642,1.50874,38.03
009,00146,1.534835,1.47974,37.96
010,00146,1.387914,1.44964,36.78
011,00146,1.396619,1.43518,36.35
012,00147,1.362385,1.40259,35.97
013,00146,1.283991,1.39688,35.51
014,00146,1.287801,1.38003,34.96
015,00146,1.342422,1.37176,34.89
016,00103,1.136139,1.36252,34.73
017,00086,1.118997,1.35823,34.62
018,00086,1.163857,1.35755,34.78
019,00086,1.035582,1.35523,34.54
020,00086,1.137854,1.35708,34.51
