[2020/02/01 11:04:19] - Namespace(attack='pgd', attack_iters=10, batch_size=128, cutout=False, cutout_len=None, data_dir='../cifar100-data', epochs=200, epsilon=128, fgsm_alpha=1, fgsm_init='random', fname='experiments/cifar100_l2_2/preactresnet18', half=False, l1=0, l2=0, lr_max=0.1, lr_schedule='piecewise', mixup=False, mixup_alpha=None, model='PreActResNet18', norm='l_2', pgd_alpha=15.0, restarts=1, resume=0, seed=0, width_factor=10)
[2020/02/01 11:04:30] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2020/02/01 11:09:48] - 0 	 267.4 	 	 51.0 	 	 0.1000 	 4.1882 	 0.0560 	 4.3364 	 	 0.0402 	 	 3.9185 	 0.0950 	 4.0557 	 	 0.0750
[2020/02/01 11:15:14] - 1 	 273.9 	 	 50.9 	 	 0.1000 	 3.7170 	 0.1279 	 3.9631 	 	 0.0884 	 	 3.5793 	 0.1470 	 3.8258 	 	 0.1089
[2020/02/01 11:20:39] - 2 	 273.1 	 	 50.7 	 	 0.1000 	 3.3771 	 0.1912 	 3.7116 	 	 0.1266 	 	 3.2166 	 0.2221 	 3.5050 	 	 0.1651
[2020/02/01 11:26:04] - 3 	 273.5 	 	 50.9 	 	 0.1000 	 3.1145 	 0.2463 	 3.5151 	 	 0.1594 	 	 3.0461 	 0.2531 	 3.3590 	 	 0.1900
[2020/02/01 11:31:29] - 4 	 273.6 	 	 50.8 	 	 0.1000 	 2.9106 	 0.2887 	 3.3725 	 	 0.1845 	 	 2.8940 	 0.2758 	 3.3146 	 	 0.1957
[2020/02/01 11:36:54] - 5 	 273.4 	 	 50.7 	 	 0.1000 	 2.7302 	 0.3251 	 3.2495 	 	 0.2040 	 	 2.6595 	 0.3283 	 3.0864 	 	 0.2419
[2020/02/01 11:42:19] - 6 	 273.3 	 	 50.9 	 	 0.1000 	 2.5661 	 0.3630 	 3.1388 	 	 0.2268 	 	 2.5312 	 0.3606 	 3.0146 	 	 0.2495
[2020/02/01 11:47:44] - 7 	 273.5 	 	 50.6 	 	 0.1000 	 2.4375 	 0.3916 	 3.0532 	 	 0.2387 	 	 2.4857 	 0.3736 	 2.9922 	 	 0.2591
[2020/02/01 11:53:09] - 8 	 272.9 	 	 50.6 	 	 0.1000 	 2.3373 	 0.4141 	 2.9832 	 	 0.2507 	 	 2.3555 	 0.3980 	 2.9096 	 	 0.2736
[2020/02/01 11:58:33] - 9 	 273.1 	 	 50.7 	 	 0.1000 	 2.2501 	 0.4365 	 2.9257 	 	 0.2624 	 	 2.3236 	 0.4083 	 2.8360 	 	 0.2863
[2020/02/01 12:03:59] - 10 	 273.5 	 	 50.9 	 	 0.1000 	 2.1737 	 0.4557 	 2.8713 	 	 0.2759 	 	 2.2399 	 0.4303 	 2.7741 	 	 0.3009
[2020/02/01 12:09:24] - 11 	 273.5 	 	 50.7 	 	 0.1000 	 2.1122 	 0.4689 	 2.8276 	 	 0.2784 	 	 2.1897 	 0.4313 	 2.7698 	 	 0.2996
[2020/02/01 12:14:47] - 12 	 272.1 	 	 50.8 	 	 0.1000 	 2.0582 	 0.4822 	 2.7936 	 	 0.2870 	 	 2.2110 	 0.4211 	 2.8095 	 	 0.2879
[2020/02/01 12:20:12] - 13 	 273.3 	 	 50.7 	 	 0.1000 	 2.0241 	 0.4883 	 2.7666 	 	 0.2935 	 	 2.2409 	 0.4149 	 2.8532 	 	 0.2855
[2020/02/01 12:25:37] - 14 	 273.5 	 	 50.8 	 	 0.1000 	 1.9814 	 0.5010 	 2.7374 	 	 0.2985 	 	 2.1080 	 0.4450 	 2.7107 	 	 0.3112
[2020/02/01 12:31:02] - 15 	 273.2 	 	 50.8 	 	 0.1000 	 1.9418 	 0.5097 	 2.7123 	 	 0.3043 	 	 2.0338 	 0.4676 	 2.6432 	 	 0.3215
[2020/02/01 12:36:27] - 16 	 273.5 	 	 50.8 	 	 0.1000 	 1.9054 	 0.5227 	 2.6826 	 	 0.3096 	 	 2.0604 	 0.4642 	 2.6723 	 	 0.3232
[2020/02/01 12:41:52] - 17 	 272.5 	 	 50.7 	 	 0.1000 	 1.8729 	 0.5286 	 2.6636 	 	 0.3109 	 	 2.0367 	 0.4690 	 2.6523 	 	 0.3212
[2020/02/01 12:47:16] - 18 	 273.1 	 	 50.8 	 	 0.1000 	 1.8438 	 0.5399 	 2.6393 	 	 0.3184 	 	 2.0043 	 0.4705 	 2.6584 	 	 0.3169
[2020/02/01 12:52:41] - 19 	 273.0 	 	 50.7 	 	 0.1000 	 1.8163 	 0.5434 	 2.6226 	 	 0.3200 	 	 1.9704 	 0.4817 	 2.6205 	 	 0.3293
[2020/02/01 12:58:06] - 20 	 273.6 	 	 50.6 	 	 0.1000 	 1.7952 	 0.5464 	 2.6071 	 	 0.3236 	 	 1.9569 	 0.4905 	 2.5738 	 	 0.3469
[2020/02/01 13:03:31] - 21 	 273.1 	 	 50.8 	 	 0.1000 	 1.7722 	 0.5550 	 2.5913 	 	 0.3273 	 	 1.9661 	 0.4827 	 2.6106 	 	 0.3249
[2020/02/01 13:08:57] - 22 	 273.9 	 	 50.9 	 	 0.1000 	 1.7547 	 0.5596 	 2.5799 	 	 0.3286 	 	 1.9638 	 0.4880 	 2.6111 	 	 0.3327
[2020/02/01 13:14:22] - 23 	 273.7 	 	 50.9 	 	 0.1000 	 1.7337 	 0.5662 	 2.5602 	 	 0.3364 	 	 1.9274 	 0.4924 	 2.5698 	 	 0.3421
[2020/02/01 13:19:47] - 24 	 273.7 	 	 50.7 	 	 0.1000 	 1.7176 	 0.5715 	 2.5523 	 	 0.3318 	 	 1.9257 	 0.4934 	 2.5966 	 	 0.3366
[2020/02/01 13:25:12] - 25 	 273.4 	 	 50.6 	 	 0.1000 	 1.6998 	 0.5747 	 2.5410 	 	 0.3368 	 	 1.9629 	 0.4816 	 2.6200 	 	 0.3351
[2020/02/01 13:30:37] - 26 	 273.3 	 	 50.8 	 	 0.1000 	 1.6872 	 0.5772 	 2.5328 	 	 0.3390 	 	 1.9386 	 0.4885 	 2.5980 	 	 0.3379
[2020/02/01 13:36:03] - 27 	 273.9 	 	 50.8 	 	 0.1000 	 1.6702 	 0.5841 	 2.5204 	 	 0.3415 	 	 1.8516 	 0.5060 	 2.5454 	 	 0.3470
[2020/02/01 13:41:29] - 28 	 274.2 	 	 50.9 	 	 0.1000 	 1.6556 	 0.5859 	 2.5096 	 	 0.3427 	 	 1.9257 	 0.4862 	 2.6158 	 	 0.3343
[2020/02/01 13:46:54] - 29 	 274.2 	 	 50.8 	 	 0.1000 	 1.6420 	 0.5906 	 2.4983 	 	 0.3441 	 	 1.9016 	 0.5045 	 2.6007 	 	 0.3436
[2020/02/01 13:52:20] - 30 	 273.8 	 	 50.9 	 	 0.1000 	 1.6293 	 0.5925 	 2.4892 	 	 0.3466 	 	 1.8608 	 0.5010 	 2.5530 	 	 0.3421
[2020/02/01 13:57:46] - 31 	 274.2 	 	 50.4 	 	 0.1000 	 1.6237 	 0.5963 	 2.4838 	 	 0.3493 	 	 1.9000 	 0.4959 	 2.5561 	 	 0.3398
[2020/02/01 14:03:11] - 32 	 273.9 	 	 50.9 	 	 0.1000 	 1.6079 	 0.5987 	 2.4745 	 	 0.3497 	 	 1.9072 	 0.4927 	 2.5960 	 	 0.3406
[2020/02/01 14:08:37] - 33 	 273.7 	 	 50.9 	 	 0.1000 	 1.6037 	 0.6015 	 2.4744 	 	 0.3476 	 	 1.9104 	 0.4953 	 2.5886 	 	 0.3387
[2020/02/01 14:14:03] - 34 	 274.2 	 	 50.9 	 	 0.1000 	 1.5892 	 0.6037 	 2.4609 	 	 0.3502 	 	 1.8301 	 0.5136 	 2.5539 	 	 0.3458
[2020/02/01 14:19:28] - 35 	 274.2 	 	 50.8 	 	 0.1000 	 1.5785 	 0.6055 	 2.4549 	 	 0.3518 	 	 1.8579 	 0.5096 	 2.5251 	 	 0.3506
