[2020/01/29 22:27:21] - Namespace(attack='pgd', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=False, cutout_len=None, data_dir='../cifar-data', epochs=110, epsilon=8, eval=False, fgsm_alpha=1.25, fgsm_init='random', fname='experiments/cifar10_dropepoch/preactresnet_60', half=False, l1=0, l2=0, lr_drop_epoch=60, lr_max=0.1, lr_one_drop=0.01, lr_schedule='onedrop', mixup=False, mixup_alpha=None, model='PreActResNet18', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)
[2020/01/29 22:27:26] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2020/01/29 22:32:55] - 0 	 277.3 	 	 51.8 	 	 0.1000 	 1.9727 	 0.2767 	 2.1582 	 	 0.1978 	 	 1.7570 	 0.3768 	 1.9728 	 	 0.2636
[2020/01/29 22:38:24] - 1 	 277.1 	 	 51.6 	 	 0.1000 	 1.7037 	 0.3865 	 1.9732 	 	 0.2590 	 	 1.5849 	 0.4426 	 1.8584 	 	 0.3108
[2020/01/29 22:43:54] - 2 	 277.4 	 	 51.7 	 	 0.1000 	 1.5774 	 0.4450 	 1.8959 	 	 0.2882 	 	 1.5381 	 0.4591 	 1.8434 	 	 0.3111
[2020/01/29 22:49:23] - 3 	 277.6 	 	 51.8 	 	 0.1000 	 1.4858 	 0.4825 	 1.8375 	 	 0.3050 	 	 1.4065 	 0.5218 	 1.7480 	 	 0.3435
[2020/01/29 22:54:53] - 4 	 277.5 	 	 51.6 	 	 0.1000 	 1.4012 	 0.5249 	 1.7875 	 	 0.3235 	 	 1.3846 	 0.5291 	 1.7343 	 	 0.3527
[2020/01/29 23:00:22] - 5 	 276.8 	 	 51.4 	 	 0.1000 	 1.3307 	 0.5579 	 1.7429 	 	 0.3428 	 	 1.2890 	 0.5591 	 1.6675 	 	 0.3756
[2020/01/29 23:05:50] - 6 	 276.5 	 	 51.6 	 	 0.1000 	 1.2754 	 0.5851 	 1.7066 	 	 0.3565 	 	 1.1932 	 0.6017 	 1.6146 	 	 0.4011
[2020/01/29 23:11:19] - 7 	 277.2 	 	 51.6 	 	 0.1000 	 1.2210 	 0.6086 	 1.6720 	 	 0.3677 	 	 1.1653 	 0.6237 	 1.6078 	 	 0.3925
[2020/01/29 23:16:47] - 8 	 275.9 	 	 51.6 	 	 0.1000 	 1.1816 	 0.6272 	 1.6460 	 	 0.3755 	 	 1.1290 	 0.6205 	 1.5815 	 	 0.3996
[2020/01/29 23:22:15] - 9 	 276.3 	 	 51.5 	 	 0.1000 	 1.1518 	 0.6410 	 1.6272 	 	 0.3851 	 	 1.0835 	 0.6543 	 1.5793 	 	 0.4067
[2020/01/29 23:27:43] - 10 	 276.0 	 	 51.3 	 	 0.1000 	 1.1241 	 0.6535 	 1.6100 	 	 0.3926 	 	 1.1086 	 0.6238 	 1.5710 	 	 0.4115
[2020/01/29 23:33:12] - 11 	 276.6 	 	 51.6 	 	 0.1000 	 1.1004 	 0.6631 	 1.5922 	 	 0.3981 	 	 1.1301 	 0.6511 	 1.5585 	 	 0.4185
[2020/01/29 23:38:41] - 12 	 277.3 	 	 51.7 	 	 0.1000 	 1.0813 	 0.6730 	 1.5819 	 	 0.4008 	 	 1.0549 	 0.6704 	 1.5266 	 	 0.4246
[2020/01/29 23:44:11] - 13 	 277.4 	 	 51.7 	 	 0.1000 	 1.0640 	 0.6800 	 1.5695 	 	 0.4075 	 	 1.0441 	 0.6612 	 1.5613 	 	 0.4130
[2020/01/29 23:49:40] - 14 	 277.8 	 	 51.7 	 	 0.1000 	 1.0448 	 0.6876 	 1.5543 	 	 0.4104 	 	 1.0242 	 0.6822 	 1.5292 	 	 0.4219
[2020/01/29 23:55:10] - 15 	 278.2 	 	 51.7 	 	 0.1000 	 1.0299 	 0.6959 	 1.5442 	 	 0.4139 	 	 1.0112 	 0.6922 	 1.5066 	 	 0.4371
[2020/01/30 00:00:41] - 16 	 278.4 	 	 52.0 	 	 0.1000 	 1.0177 	 0.6995 	 1.5349 	 	 0.4183 	 	 1.0217 	 0.6478 	 1.5084 	 	 0.4374
[2020/01/30 00:06:13] - 17 	 279.2 	 	 52.2 	 	 0.1000 	 1.0042 	 0.7048 	 1.5268 	 	 0.4214 	 	 1.0185 	 0.6914 	 1.4920 	 	 0.4489
