[2020/01/29 12:15:21] - Namespace(attack='pgd', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=False, cutout_len=None, data_dir='../cifar-data', epochs=110, epsilon=8, eval=False, fgsm_alpha=1, fgsm_init='random', fname='experiments/cifar10_droplr/preactresnet_0.03', half=False, l1=0, l2=0, lr_drop_epoch=100, lr_max=0.1, lr_one_drop=0.03, lr_schedule='onedrop', mixup=False, mixup_alpha=None, model='PreActResNet18', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)
[2020/01/29 12:15:25] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2020/01/29 12:20:53] - 0 	 275.3 	 	 53.6 	 	 0.1000 	 1.9652 	 0.2805 	 2.1562 	 	 0.2000 	 	 1.7544 	 0.3676 	 1.9689 	 	 0.2608
[2020/01/29 12:21:40] - Namespace(attack='pgd', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=False, cutout_len=None, data_dir='../cifar-data', epochs=110, epsilon=8, eval=False, fgsm_alpha=1.25, fgsm_init='random', fname='experiments/cifar10_droplr/preactresnet_0.03', half=False, l1=0, l2=0, lr_drop_epoch=100, lr_max=0.1, lr_one_drop=0.03, lr_schedule='onedrop', mixup=False, mixup_alpha=None, model='PreActResNet18', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)
[2020/01/29 12:21:43] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2020/01/29 12:27:12] - 0 	 276.2 	 	 51.9 	 	 0.1000 	 1.9595 	 0.2841 	 2.1525 	 	 0.2019 	 	 1.7388 	 0.3858 	 1.9612 	 	 0.2724
[2020/01/29 12:32:42] - 1 	 278.1 	 	 51.7 	 	 0.1000 	 1.6993 	 0.3895 	 1.9709 	 	 0.2606 	 	 1.5903 	 0.4373 	 1.8659 	 	 0.3096
[2020/01/29 12:38:11] - 2 	 277.4 	 	 51.8 	 	 0.1000 	 1.5758 	 0.4470 	 1.8950 	 	 0.2889 	 	 1.5453 	 0.4577 	 1.8450 	 	 0.3135
[2020/01/29 12:43:40] - 3 	 277.0 	 	 51.6 	 	 0.1000 	 1.4865 	 0.4813 	 1.8377 	 	 0.3037 	 	 1.4078 	 0.5180 	 1.7489 	 	 0.3421
[2020/01/29 12:49:09] - 4 	 276.8 	 	 51.7 	 	 0.1000 	 1.4001 	 0.5256 	 1.7878 	 	 0.3244 	 	 1.3906 	 0.5296 	 1.7352 	 	 0.3558
[2020/01/29 12:54:39] - 5 	 277.1 	 	 51.7 	 	 0.1000 	 1.3297 	 0.5574 	 1.7428 	 	 0.3422 	 	 1.2899 	 0.5617 	 1.6637 	 	 0.3788
[2020/01/29 13:00:09] - 6 	 278.2 	 	 51.9 	 	 0.1000 	 1.2747 	 0.5864 	 1.7062 	 	 0.3560 	 	 1.1849 	 0.6088 	 1.6153 	 	 0.4003
[2020/01/29 13:05:39] - 7 	 277.8 	 	 51.8 	 	 0.1000 	 1.2221 	 0.6085 	 1.6729 	 	 0.3673 	 	 1.1683 	 0.6193 	 1.6083 	 	 0.3900
[2020/01/29 13:11:09] - 8 	 277.8 	 	 51.8 	 	 0.1000 	 1.1810 	 0.6284 	 1.6458 	 	 0.3745 	 	 1.1328 	 0.6169 	 1.5891 	 	 0.3922
[2020/01/29 13:16:37] - 9 	 277.1 	 	 51.4 	 	 0.1000 	 1.1496 	 0.6425 	 1.6268 	 	 0.3836 	 	 1.0897 	 0.6526 	 1.5822 	 	 0.4061
[2020/01/29 13:22:07] - 10 	 276.6 	 	 51.7 	 	 0.1000 	 1.1219 	 0.6531 	 1.6089 	 	 0.3925 	 	 1.1018 	 0.6267 	 1.5720 	 	 0.4105
[2020/01/29 13:27:37] - 11 	 277.9 	 	 51.8 	 	 0.1000 	 1.0986 	 0.6635 	 1.5914 	 	 0.3997 	 	 1.1291 	 0.6479 	 1.5600 	 	 0.4158
[2020/01/29 13:33:07] - 12 	 277.6 	 	 51.6 	 	 0.1000 	 1.0798 	 0.6724 	 1.5810 	 	 0.4016 	 	 1.0492 	 0.6719 	 1.5242 	 	 0.4239
[2020/01/29 13:38:36] - 13 	 277.6 	 	 51.7 	 	 0.1000 	 1.0621 	 0.6810 	 1.5687 	 	 0.4080 	 	 1.0383 	 0.6664 	 1.5661 	 	 0.4101
[2020/01/29 13:44:06] - 14 	 277.6 	 	 51.6 	 	 0.1000 	 1.0427 	 0.6884 	 1.5546 	 	 0.4101 	 	 1.0256 	 0.6848 	 1.5359 	 	 0.4200
[2020/01/29 13:49:35] - 15 	 277.7 	 	 51.6 	 	 0.1000 	 1.0277 	 0.6963 	 1.5431 	 	 0.4132 	 	 1.0069 	 0.6928 	 1.4993 	 	 0.4412
[2020/01/29 13:55:05] - 16 	 277.9 	 	 51.7 	 	 0.1000 	 1.0154 	 0.7018 	 1.5341 	 	 0.4193 	 	 1.0157 	 0.6556 	 1.5024 	 	 0.4395
[2020/01/29 14:00:33] - 17 	 276.9 	 	 51.4 	 	 0.1000 	 1.0012 	 0.7052 	 1.5247 	 	 0.4208 	 	 1.0272 	 0.6896 	 1.4972 	 	 0.4482
[2020/01/29 14:06:02] - 18 	 276.4 	 	 51.6 	 	 0.1000 	 0.9922 	 0.7082 	 1.5184 	 	 0.4233 	 	 0.9490 	 0.7089 	 1.5011 	 	 0.4295
[2020/01/29 14:11:31] - 19 	 277.7 	 	 51.6 	 	 0.1000 	 0.9776 	 0.7163 	 1.5071 	 	 0.4292 	 	 0.9875 	 0.6977 	 1.4946 	 	 0.4398
[2020/01/29 14:17:02] - 20 	 278.2 	 	 51.8 	 	 0.1000 	 0.9707 	 0.7201 	 1.5024 	 	 0.4323 	 	 0.9809 	 0.6931 	 1.5004 	 	 0.4348
[2020/01/29 14:22:32] - 21 	 278.0 	 	 52.0 	 	 0.1000 	 0.9654 	 0.7191 	 1.4962 	 	 0.4329 	 	 1.0109 	 0.6786 	 1.4813 	 	 0.4483
[2020/01/29 14:28:02] - 22 	 277.7 	 	 51.8 	 	 0.1000 	 0.9592 	 0.7228 	 1.4928 	 	 0.4354 	 	 0.9657 	 0.7094 	 1.4703 	 	 0.4457
[2020/01/29 14:33:31] - 23 	 277.7 	 	 51.6 	 	 0.1000 	 0.9506 	 0.7258 	 1.4899 	 	 0.4330 	 	 0.9490 	 0.7182 	 1.4532 	 	 0.4468
[2020/01/29 14:39:01] - 24 	 278.2 	 	 51.8 	 	 0.1000 	 0.9436 	 0.7295 	 1.4823 	 	 0.4386 	 	 1.0001 	 0.6772 	 1.4598 	 	 0.4529
[2020/01/29 14:44:32] - 25 	 278.4 	 	 51.7 	 	 0.1000 	 0.9312 	 0.7349 	 1.4737 	 	 0.4403 	 	 0.9440 	 0.7061 	 1.4555 	 	 0.4586
[2020/01/29 14:50:03] - 26 	 278.8 	 	 51.9 	 	 0.1000 	 0.9296 	 0.7335 	 1.4723 	 	 0.4399 	 	 0.9516 	 0.7178 	 1.4741 	 	 0.4510
[2020/01/29 14:55:34] - 27 	 279.0 	 	 52.0 	 	 0.1000 	 0.9245 	 0.7377 	 1.4695 	 	 0.4408 	 	 0.9653 	 0.7071 	 1.4669 	 	 0.4530
[2020/01/29 15:01:04] - 28 	 278.2 	 	 51.9 	 	 0.1000 	 0.9211 	 0.7370 	 1.4660 	 	 0.4430 	 	 0.9553 	 0.7025 	 1.4773 	 	 0.4453
[2020/01/29 15:06:35] - 29 	 278.9 	 	 51.9 	 	 0.1000 	 0.9170 	 0.7395 	 1.4621 	 	 0.4446 	 	 0.9194 	 0.7229 	 1.4333 	 	 0.4642
[2020/01/29 15:12:07] - 30 	 278.5 	 	 51.9 	 	 0.1000 	 0.9113 	 0.7415 	 1.4583 	 	 0.4430 	 	 0.9528 	 0.7143 	 1.4696 	 	 0.4465
[2020/01/29 15:17:37] - 31 	 278.3 	 	 51.7 	 	 0.1000 	 0.9043 	 0.7473 	 1.4535 	 	 0.4480 	 	 0.9444 	 0.7283 	 1.4608 	 	 0.4581
[2020/01/29 15:23:05] - 32 	 276.6 	 	 51.4 	 	 0.1000 	 0.9002 	 0.7465 	 1.4501 	 	 0.4491 	 	 0.9155 	 0.7279 	 1.4648 	 	 0.4513
[2020/01/29 15:28:34] - 33 	 277.3 	 	 51.7 	 	 0.1000 	 0.9035 	 0.7437 	 1.4526 	 	 0.4481 	 	 0.9116 	 0.7283 	 1.4660 	 	 0.4515
[2020/01/29 15:34:02] - 34 	 277.1 	 	 51.5 	 	 0.1000 	 0.8949 	 0.7494 	 1.4462 	 	 0.4496 	 	 0.8662 	 0.7382 	 1.4169 	 	 0.4664
[2020/01/29 15:39:33] - 35 	 277.9 	 	 52.2 	 	 0.1000 	 0.8912 	 0.7531 	 1.4440 	 	 0.4499 	 	 0.9339 	 0.7223 	 1.4719 	 	 0.4568
[2020/01/29 15:45:03] - 36 	 278.6 	 	 51.8 	 	 0.1000 	 0.8917 	 0.7507 	 1.4432 	 	 0.4521 	 	 0.9363 	 0.7268 	 1.4609 	 	 0.4518
[2020/01/29 15:50:34] - 37 	 278.5 	 	 51.8 	 	 0.1000 	 0.8894 	 0.7513 	 1.4432 	 	 0.4517 	 	 0.9122 	 0.7375 	 1.4391 	 	 0.4609
