[2020/02/01 10:57:17] - Namespace(attack='fgsm', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=False, cutout_len=None, data_dir='../cifar-data', epochs=200, epsilon=8, eval=False, fgsm_alpha=0.875, fgsm_init='random', fname='experiments/cifar10_fgsm_l2/preactresnet18', half=False, l1=0, l2=0, lr_drop_epoch=100, lr_max=0.1, lr_one_drop=0.01, lr_schedule='piecewise', mixup=False, mixup_alpha=None, model='PreActResNet18', norm='l_2', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)
[2020/02/01 10:57:20] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2020/02/01 10:59:10] - 0 	 60.1 	 	 49.7 	 	 0.1000 	 1.5564 	 0.4210 	 1.6568 	 	 0.3801 	 	 1.3027 	 0.5260 	 1.3483 	 	 0.5031
[2020/02/01 11:01:03] - 1 	 62.0 	 	 50.8 	 	 0.1000 	 1.0821 	 0.6123 	 1.2147 	 	 0.5594 	 	 1.0304 	 0.6365 	 1.1144 	 	 0.6045
[2020/02/01 11:02:33] - Namespace(attack='fgsm', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=False, cutout_len=None, data_dir='../cifar-data', epochs=200, epsilon=128, eval=False, fgsm_alpha=0.875, fgsm_init='random', fname='experiments/cifar10_fgsm_l2/preactresnet18', half=False, l1=0, l2=0, lr_drop_epoch=100, lr_max=0.1, lr_one_drop=0.01, lr_schedule='piecewise', mixup=False, mixup_alpha=None, model='PreActResNet18', norm='l_2', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)
[2020/02/01 11:02:36] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2020/02/01 11:03:18] - Namespace(attack='fgsm', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=False, cutout_len=None, data_dir='../cifar-data', epochs=200, epsilon=128, eval=False, fgsm_alpha=0.875, fgsm_init='random', fname='experiments/cifar10_fgsm_l2/preactresnet18', half=False, l1=0, l2=0, lr_drop_epoch=100, lr_max=0.1, lr_one_drop=0.01, lr_schedule='piecewise', mixup=False, mixup_alpha=None, model='PreActResNet18', norm='l_2', pgd_alpha=15.0, restarts=1, resume=0, seed=0, val=False, width_factor=10)
[2020/02/01 11:03:21] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2020/02/01 11:05:13] - 0 	 61.2 	 	 50.7 	 	 0.1000 	 1.6992 	 0.3683 	 1.9040 	 	 0.2818 	 	 1.4902 	 0.4498 	 1.7215 	 	 0.3443
[2020/02/01 11:07:10] - 1 	 63.9 	 	 52.7 	 	 0.1000 	 1.3632 	 0.5101 	 1.6364 	 	 0.3833 	 	 1.2314 	 0.5643 	 1.5218 	 	 0.4173
[2020/02/01 11:09:08] - 2 	 64.8 	 	 52.8 	 	 0.1000 	 1.1459 	 0.6018 	 1.4745 	 	 0.4443 	 	 1.0855 	 0.6191 	 1.4374 	 	 0.4498
[2020/02/01 11:11:06] - 3 	 64.7 	 	 52.6 	 	 0.1000 	 0.9971 	 0.6638 	 1.3561 	 	 0.4891 	 	 0.9610 	 0.6604 	 1.3516 	 	 0.4922
[2020/02/01 11:13:03] - 4 	 64.4 	 	 52.5 	 	 0.1000 	 0.8895 	 0.7068 	 1.2683 	 	 0.5225 	 	 0.8750 	 0.7076 	 1.2491 	 	 0.5252
[2020/02/01 11:15:00] - 5 	 64.4 	 	 52.4 	 	 0.1000 	 0.8186 	 0.7382 	 1.2092 	 	 0.5456 	 	 0.8598 	 0.7056 	 1.2662 	 	 0.5204
[2020/02/01 11:16:57] - 6 	 64.3 	 	 52.2 	 	 0.1000 	 0.7633 	 0.7610 	 1.1637 	 	 0.5613 	 	 0.7585 	 0.7427 	 1.1859 	 	 0.5593
[2020/02/01 11:18:54] - 7 	 64.3 	 	 52.3 	 	 0.1000 	 0.7152 	 0.7766 	 1.1241 	 	 0.5775 	 	 0.7398 	 0.7630 	 1.1477 	 	 0.5696
[2020/02/01 11:20:51] - 8 	 64.2 	 	 52.3 	 	 0.1000 	 0.6801 	 0.7915 	 1.0969 	 	 0.5863 	 	 0.7039 	 0.7623 	 1.1337 	 	 0.5785
[2020/02/01 11:22:47] - 9 	 64.1 	 	 52.2 	 	 0.1000 	 0.6522 	 0.8033 	 1.0743 	 	 0.5960 	 	 0.6932 	 0.7687 	 1.1324 	 	 0.5733
[2020/02/01 11:24:44] - 10 	 64.1 	 	 52.1 	 	 0.1000 	 0.6264 	 0.8129 	 1.0535 	 	 0.6021 	 	 0.7393 	 0.7536 	 1.1861 	 	 0.5679
[2020/02/01 11:26:41] - 11 	 64.2 	 	 52.2 	 	 0.1000 	 0.6016 	 0.8197 	 1.0302 	 	 0.6112 	 	 0.6927 	 0.7780 	 1.1143 	 	 0.5892
[2020/02/01 11:28:38] - 12 	 64.2 	 	 52.1 	 	 0.1000 	 0.5871 	 0.8251 	 1.0201 	 	 0.6141 	 	 0.6396 	 0.7943 	 1.0625 	 	 0.6045
[2020/02/01 11:30:34] - 13 	 64.2 	 	 52.1 	 	 0.1000 	 0.5718 	 0.8323 	 1.0045 	 	 0.6229 	 	 0.6386 	 0.7866 	 1.1005 	 	 0.5890
[2020/02/01 11:32:31] - 14 	 64.2 	 	 52.1 	 	 0.1000 	 0.5553 	 0.8368 	 0.9895 	 	 0.6275 	 	 0.6396 	 0.7968 	 1.0598 	 	 0.6050
[2020/02/01 11:34:27] - 15 	 64.2 	 	 52.1 	 	 0.1000 	 0.5357 	 0.8454 	 0.9715 	 	 0.6343 	 	 0.6070 	 0.7932 	 1.0739 	 	 0.5996
[2020/02/01 11:36:24] - 16 	 64.2 	 	 52.2 	 	 0.1000 	 0.5289 	 0.8466 	 0.9669 	 	 0.6365 	 	 0.6325 	 0.7798 	 1.0885 	 	 0.5967
[2020/02/01 11:38:20] - 17 	 64.2 	 	 52.2 	 	 0.1000 	 0.5202 	 0.8498 	 0.9569 	 	 0.6380 	 	 0.5970 	 0.8048 	 1.0543 	 	 0.5995
[2020/02/01 11:40:17] - 18 	 64.2 	 	 52.2 	 	 0.1000 	 0.5083 	 0.8522 	 0.9462 	 	 0.6444 	 	 0.5987 	 0.7974 	 1.0991 	 	 0.5908
[2020/02/01 11:42:13] - 19 	 64.2 	 	 52.1 	 	 0.1000 	 0.5009 	 0.8560 	 0.9386 	 	 0.6475 	 	 0.5760 	 0.8091 	 1.0487 	 	 0.6038
[2020/02/01 11:44:10] - 20 	 64.0 	 	 52.2 	 	 0.1000 	 0.4919 	 0.8595 	 0.9306 	 	 0.6509 	 	 0.5873 	 0.8054 	 1.0766 	 	 0.6099
[2020/02/01 11:46:07] - 21 	 64.2 	 	 52.1 	 	 0.1000 	 0.4878 	 0.8594 	 0.9255 	 	 0.6483 	 	 0.5918 	 0.8090 	 1.0549 	 	 0.6048
[2020/02/01 11:48:03] - 22 	 64.2 	 	 52.2 	 	 0.1000 	 0.4803 	 0.8629 	 0.9206 	 	 0.6516 	 	 0.5644 	 0.8196 	 1.0275 	 	 0.6083
[2020/02/01 11:50:00] - 23 	 64.2 	 	 52.1 	 	 0.1000 	 0.4766 	 0.8657 	 0.9175 	 	 0.6535 	 	 0.5402 	 0.8273 	 1.0216 	 	 0.6189
[2020/02/01 11:51:56] - 24 	 64.2 	 	 52.2 	 	 0.1000 	 0.4616 	 0.8716 	 0.9037 	 	 0.6567 	 	 0.5903 	 0.7993 	 1.0344 	 	 0.6179
[2020/02/01 11:53:53] - 25 	 64.3 	 	 52.2 	 	 0.1000 	 0.4598 	 0.8722 	 0.9011 	 	 0.6590 	 	 0.5591 	 0.8175 	 1.0267 	 	 0.6164
[2020/02/01 11:55:49] - 26 	 64.3 	 	 52.1 	 	 0.1000 	 0.4565 	 0.8742 	 0.8980 	 	 0.6605 	 	 0.5545 	 0.8185 	 1.0370 	 	 0.6134
[2020/02/01 11:57:46] - 27 	 64.2 	 	 52.2 	 	 0.1000 	 0.4498 	 0.8761 	 0.8915 	 	 0.6605 	 	 0.5548 	 0.8143 	 1.0455 	 	 0.6133
[2020/02/01 11:59:42] - 28 	 64.2 	 	 52.1 	 	 0.1000 	 0.4499 	 0.8753 	 0.8935 	 	 0.6609 	 	 0.5506 	 0.8190 	 1.0017 	 	 0.6263
[2020/02/01 12:01:39] - 29 	 64.2 	 	 52.2 	 	 0.1000 	 0.4488 	 0.8752 	 0.8897 	 	 0.6608 	 	 0.5475 	 0.8208 	 1.0172 	 	 0.6229
[2020/02/01 12:03:36] - 30 	 64.2 	 	 52.2 	 	 0.1000 	 0.4403 	 0.8792 	 0.8809 	 	 0.6655 	 	 0.5574 	 0.8163 	 1.0363 	 	 0.6154
[2020/02/01 12:05:32] - 31 	 64.3 	 	 52.2 	 	 0.1000 	 0.4365 	 0.8802 	 0.8807 	 	 0.6701 	 	 0.5468 	 0.8241 	 1.0312 	 	 0.6123
[2020/02/01 12:07:29] - 32 	 64.2 	 	 52.2 	 	 0.1000 	 0.4314 	 0.8799 	 0.8739 	 	 0.6689 	 	 0.5513 	 0.8174 	 1.0476 	 	 0.6082
[2020/02/01 12:09:25] - 33 	 64.2 	 	 52.1 	 	 0.1000 	 0.4360 	 0.8800 	 0.8773 	 	 0.6636 	 	 0.5445 	 0.8191 	 1.0312 	 	 0.6186
[2020/02/01 12:11:22] - 34 	 64.3 	 	 52.2 	 	 0.1000 	 0.4269 	 0.8840 	 0.8689 	 	 0.6690 	 	 0.5242 	 0.8325 	 0.9908 	 	 0.6349
[2020/02/01 12:13:18] - 35 	 64.2 	 	 52.2 	 	 0.1000 	 0.4240 	 0.8837 	 0.8662 	 	 0.6708 	 	 0.5307 	 0.8296 	 1.0406 	 	 0.6053
[2020/02/01 12:15:15] - 36 	 64.3 	 	 52.2 	 	 0.1000 	 0.4238 	 0.8848 	 0.8668 	 	 0.6722 	 	 0.5611 	 0.8184 	 1.0397 	 	 0.6137
[2020/02/01 12:17:11] - 37 	 64.4 	 	 52.3 	 	 0.1000 	 0.4228 	 0.8859 	 0.8655 	 	 0.6713 	 	 0.5448 	 0.8214 	 1.0181 	 	 0.6154
[2020/02/01 12:19:08] - 38 	 64.4 	 	 52.2 	 	 0.1000 	 0.4177 	 0.8873 	 0.8600 	 	 0.6718 	 	 0.5374 	 0.8272 	 1.0364 	 	 0.6170
