[2020/01/17 11:36:13] - Namespace(attack='pgd', attack_iters=10, batch_size=128, cutout=False, cutout_len=None, data_dir='../cifar-data', epochs=200, epsilon=8, fgsm_alpha=1, fgsm_init='random', fname='experiments/cifar10_l1/preactresnet18_5e-5', half=False, l1=5e-05, l2=0, lr_max=0.1, lr_schedule='piecewise', mixup=False, mixup_alpha=None, model='PreActResNet18', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, width_factor=10)
[2020/01/17 11:36:20] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2020/01/17 11:40:18] - 0 	 202.1 	 	 36.3 	 	 0.1000 	 1.9748 	 0.2743 	 4.3113 	 	 0.1905 	 	 1.8599 	 0.3266 	 2.0607 	 	 0.2360
[2020/01/17 11:44:20] - 1 	 202.3 	 	 38.3 	 	 0.1000 	 1.7891 	 0.3519 	 2.4933 	 	 0.2327 	 	 1.7606 	 0.3513 	 2.0067 	 	 0.2482
[2020/01/17 11:48:22] - 2 	 201.9 	 	 39.5 	 	 0.1000 	 1.7195 	 0.3809 	 2.3055 	 	 0.2490 	 	 1.7188 	 0.3697 	 2.0021 	 	 0.2437
[2020/01/17 11:52:12] - 3 	 194.2 	 	 34.7 	 	 0.1000 	 1.6715 	 0.4041 	 2.2441 	 	 0.2603 	 	 1.6022 	 0.4340 	 1.8813 	 	 0.2935
[2020/01/17 11:56:08] - 4 	 197.5 	 	 37.3 	 	 0.1000 	 1.6207 	 0.4271 	 2.2023 	 	 0.2723 	 	 1.6458 	 0.4190 	 1.9109 	 	 0.2872
[2020/01/17 12:00:04] - 5 	 198.1 	 	 37.5 	 	 0.1000 	 1.5830 	 0.4431 	 2.1692 	 	 0.2820 	 	 1.5351 	 0.4491 	 1.8418 	 	 0.3089
[2020/01/17 12:03:59] - 6 	 196.2 	 	 37.7 	 	 0.1000 	 1.5479 	 0.4593 	 2.1489 	 	 0.2853 	 	 1.4952 	 0.4860 	 1.8161 	 	 0.3152
[2020/01/17 12:07:55] - 7 	 197.7 	 	 38.1 	 	 0.1000 	 1.5126 	 0.4762 	 2.1237 	 	 0.2929 	 	 1.4694 	 0.4866 	 1.8152 	 	 0.3104
[2020/01/17 12:11:52] - 8 	 198.3 	 	 38.0 	 	 0.1000 	 1.4977 	 0.4832 	 2.1170 	 	 0.2968 	 	 1.4247 	 0.4951 	 1.7955 	 	 0.3249
[2020/01/17 12:15:51] - 9 	 200.5 	 	 37.2 	 	 0.1000 	 1.4723 	 0.4933 	 2.0931 	 	 0.3027 	 	 1.4290 	 0.5092 	 1.7913 	 	 0.3238
[2020/01/17 12:19:44] - 10 	 193.6 	 	 38.3 	 	 0.1000 	 1.4535 	 0.5016 	 2.1040 	 	 0.3059 	 	 1.4172 	 0.4964 	 1.7687 	 	 0.3341
[2020/01/17 12:23:42] - 11 	 198.3 	 	 38.8 	 	 0.1000 	 1.4312 	 0.5115 	 2.0555 	 	 0.3152 	 	 1.4082 	 0.5141 	 1.7426 	 	 0.3436
[2020/01/17 12:27:38] - 12 	 196.8 	 	 38.3 	 	 0.1000 	 1.4189 	 0.5181 	 2.0505 	 	 0.3173 	 	 1.3941 	 0.5401 	 1.7455 	 	 0.3430
[2020/01/17 12:31:35] - 13 	 197.5 	 	 38.6 	 	 0.1000 	 1.4063 	 0.5271 	 2.0372 	 	 0.3221 	 	 1.3766 	 0.5027 	 1.8000 	 	 0.3116
[2020/01/17 12:35:31] - 14 	 197.9 	 	 37.5 	 	 0.1000 	 1.3913 	 0.5293 	 2.0326 	 	 0.3225 	 	 1.3388 	 0.5346 	 1.7215 	 	 0.3479
[2020/01/17 12:39:32] - 15 	 202.7 	 	 36.8 	 	 0.1000 	 1.3792 	 0.5353 	 2.0103 	 	 0.3279 	 	 1.3281 	 0.5489 	 1.7034 	 	 0.3552
[2020/01/17 12:43:30] - 16 	 201.1 	 	 35.7 	 	 0.1000 	 1.3706 	 0.5394 	 2.0068 	 	 0.3281 	 	 1.3328 	 0.5150 	 1.7066 	 	 0.3522
[2020/01/17 12:47:26] - 17 	 196.6 	 	 38.6 	 	 0.1000 	 1.3610 	 0.5423 	 2.0057 	 	 0.3325 	 	 1.3484 	 0.5452 	 1.7128 	 	 0.3595
[2020/01/17 12:51:22] - 18 	 197.9 	 	 37.5 	 	 0.1000 	 1.3558 	 0.5458 	 2.0095 	 	 0.3285 	 	 1.3604 	 0.5452 	 1.7784 	 	 0.3409
[2020/01/17 12:55:19] - 19 	 198.3 	 	 37.8 	 	 0.1000 	 1.3484 	 0.5519 	 1.9987 	 	 0.3340 	 	 1.3226 	 0.5525 	 1.6991 	 	 0.3632
[2020/01/17 12:59:15] - 20 	 197.9 	 	 37.7 	 	 0.1000 	 1.3389 	 0.5559 	 1.9923 	 	 0.3381 	 	 1.3117 	 0.5746 	 1.6899 	 	 0.3634
[2020/01/17 13:03:11] - 21 	 198.2 	 	 36.8 	 	 0.1000 	 1.3367 	 0.5532 	 1.9867 	 	 0.3363 	 	 1.3184 	 0.5676 	 1.6832 	 	 0.3685
[2020/01/17 13:07:10] - 22 	 202.3 	 	 35.6 	 	 0.1000 	 1.3295 	 0.5580 	 1.9872 	 	 0.3372 	 	 1.2947 	 0.5709 	 1.6908 	 	 0.3699
[2020/01/17 13:11:05] - 23 	 196.2 	 	 38.0 	 	 0.1000 	 1.3261 	 0.5623 	 1.9889 	 	 0.3390 	 	 1.2929 	 0.5715 	 1.6802 	 	 0.3575
[2020/01/17 13:15:03] - 24 	 198.6 	 	 37.5 	 	 0.1000 	 1.3183 	 0.5673 	 1.9816 	 	 0.3398 	 	 1.3009 	 0.5639 	 1.6781 	 	 0.3679
[2020/01/17 13:18:59] - 25 	 197.9 	 	 37.9 	 	 0.1000 	 1.3075 	 0.5702 	 1.9692 	 	 0.3439 	 	 1.2755 	 0.5592 	 1.6881 	 	 0.3591
[2020/01/17 13:22:56] - 26 	 198.1 	 	 38.0 	 	 0.1000 	 1.3068 	 0.5669 	 1.9789 	 	 0.3407 	 	 1.2889 	 0.5698 	 1.6824 	 	 0.3676
[2020/01/17 13:26:54] - 27 	 200.2 	 	 36.5 	 	 0.1000 	 1.3049 	 0.5681 	 1.9706 	 	 0.3430 	 	 1.2675 	 0.5809 	 1.6570 	 	 0.3730
[2020/01/17 13:31:00] - 28 	 206.5 	 	 38.5 	 	 0.1000 	 1.3043 	 0.5681 	 1.9742 	 	 0.3417 	 	 1.2950 	 0.5524 	 1.6933 	 	 0.3573
[2020/01/17 13:35:17] - 29 	 216.8 	 	 39.5 	 	 0.1000 	 1.2985 	 0.5715 	 1.9646 	 	 0.3432 	 	 1.2667 	 0.5731 	 1.6643 	 	 0.3710
[2020/01/17 13:39:28] - 30 	 210.5 	 	 39.3 	 	 0.1000 	 1.2941 	 0.5746 	 1.9690 	 	 0.3436 	 	 1.2829 	 0.5751 	 1.6665 	 	 0.3754
[2020/01/17 13:43:33] - 31 	 206.8 	 	 37.5 	 	 0.1000 	 1.2872 	 0.5788 	 1.9593 	 	 0.3500 	 	 1.2786 	 0.5815 	 1.6882 	 	 0.3574
[2020/01/17 13:47:42] - 32 	 209.5 	 	 38.5 	 	 0.1000 	 1.2864 	 0.5775 	 1.9558 	 	 0.3475 	 	 1.2617 	 0.5951 	 1.6737 	 	 0.3619
[2020/01/17 13:51:52] - 33 	 210.7 	 	 38.5 	 	 0.1000 	 1.2868 	 0.5794 	 1.9615 	 	 0.3497 	 	 1.2628 	 0.5859 	 1.6596 	 	 0.3679
[2020/01/17 13:56:01] - 34 	 209.1 	 	 38.5 	 	 0.1000 	 1.2830 	 0.5775 	 1.9548 	 	 0.3497 	 	 1.2342 	 0.6053 	 1.6360 	 	 0.3823
[2020/01/17 14:00:10] - 35 	 210.1 	 	 38.1 	 	 0.1000 	 1.2782 	 0.5796 	 1.9544 	 	 0.3504 	 	 1.2547 	 0.5840 	 1.6719 	 	 0.3716
[2020/01/17 14:04:24] - 36 	 214.4 	 	 38.5 	 	 0.1000 	 1.2781 	 0.5805 	 1.9756 	 	 0.3500 	 	 1.2611 	 0.5727 	 1.6470 	 	 0.3846
[2020/01/17 14:08:37] - 37 	 213.0 	 	 39.3 	 	 0.1000 	 1.2753 	 0.5823 	 1.9581 	 	 0.3505 	 	 1.2579 	 0.5915 	 1.6458 	 	 0.3722
[2020/01/17 14:12:45] - 38 	 209.1 	 	 37.7 	 	 0.1000 	 1.2773 	 0.5815 	 1.9542 	 	 0.3479 	 	 1.2601 	 0.5817 	 1.6576 	 	 0.3762
[2020/01/17 14:16:53] - 39 	 207.2 	 	 40.0 	 	 0.1000 	 1.2741 	 0.5852 	 1.9513 	 	 0.3498 	 	 1.2351 	 0.5776 	 1.6508 	 	 0.3752
[2020/01/17 14:21:01] - 40 	 206.3 	 	 40.5 	 	 0.1000 	 1.2690 	 0.5836 	 1.9495 	 	 0.3504 	 	 1.2504 	 0.5869 	 1.6554 	 	 0.3748
[2020/01/17 14:25:10] - 41 	 208.4 	 	 40.0 	 	 0.1000 	 1.2671 	 0.5848 	 1.9543 	 	 0.3520 	 	 1.2445 	 0.5935 	 1.6478 	 	 0.3844
[2020/01/17 14:29:19] - 42 	 206.7 	 	 41.3 	 	 0.1000 	 1.2690 	 0.5858 	 1.9441 	 	 0.3503 	 	 1.2596 	 0.5882 	 1.6663 	 	 0.3863
[2020/01/17 14:33:29] - 43 	 210.9 	 	 37.6 	 	 0.1000 	 1.2687 	 0.5829 	 1.9485 	 	 0.3503 	 	 1.2306 	 0.5910 	 1.6503 	 	 0.3700
[2020/01/17 14:37:39] - 44 	 210.5 	 	 38.6 	 	 0.1000 	 1.2621 	 0.5874 	 1.9651 	 	 0.3508 	 	 1.2374 	 0.6052 	 1.6458 	 	 0.3802
[2020/01/17 14:41:46] - 45 	 205.9 	 	 40.3 	 	 0.1000 	 1.2621 	 0.5902 	 1.9408 	 	 0.3524 	 	 1.2465 	 0.5721 	 1.6712 	 	 0.3690
[2020/01/17 14:45:55] - 46 	 207.5 	 	 40.1 	 	 0.1000 	 1.2618 	 0.5886 	 1.9591 	 	 0.3543 	 	 1.2070 	 0.5973 	 1.6463 	 	 0.3771
[2020/01/17 14:50:02] - 47 	 205.7 	 	 40.3 	 	 0.1000 	 1.2576 	 0.5911 	 1.9350 	 	 0.3548 	 	 1.2421 	 0.5643 	 1.6776 	 	 0.3629
[2020/01/17 14:54:09] - 48 	 204.7 	 	 41.8 	 	 0.1000 	 1.2588 	 0.5894 	 1.9668 	 	 0.3547 	 	 1.2290 	 0.5820 	 1.6673 	 	 0.3732
[2020/01/17 14:58:18] - 49 	 206.2 	 	 41.1 	 	 0.1000 	 1.2564 	 0.5924 	 1.9240 	 	 0.3550 	 	 1.2268 	 0.5990 	 1.6475 	 	 0.3810
[2020/01/17 15:02:28] - 50 	 212.0 	 	 37.4 	 	 0.1000 	 1.2512 	 0.5926 	 1.9268 	 	 0.3564 	 	 1.2219 	 0.6018 	 1.6373 	 	 0.3754
