[2020/01/13 01:46:21] - Namespace(attack='pgd', attack_iters=10, batch_size=128, data_dir='../cifar-data', epochs=200, epsilon=8, fgsm_alpha=1, fgsm_init='random', fname='experiments/cifar10_l2/preactresnet18_0.01', half=False, l1=0, l2=0.01, lr_max=0.1, lr_schedule='piecewise', model='PreActResNet18', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, width_factor=10)
[2020/01/13 01:46:25] - Epoch 	 Train Time 	 Test Time 	 LR 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2020/01/13 01:49:47] - 0 	 169.0 	 32.7 	 0.1000 	 2.0170 	 0.2583 	 2.1913 	 0.1847 	 1.9695 	 0.3033 	 2.1299 	 0.2136
[2020/01/13 01:53:09] - 1 	 170.1 	 31.8 	 0.1000 	 1.8802 	 0.3187 	 2.0983 	 0.2180 	 1.8665 	 0.2972 	 2.0881 	 0.2118
[2020/01/13 01:56:33] - 2 	 171.9 	 31.8 	 0.1000 	 1.8499 	 0.3342 	 2.0789 	 0.2255 	 1.8827 	 0.3225 	 2.0971 	 0.2152
[2020/01/13 01:59:57] - 3 	 171.7 	 31.7 	 0.1000 	 1.8346 	 0.3398 	 2.0680 	 0.2269 	 1.8004 	 0.3698 	 2.0127 	 0.2641
[2020/01/13 02:03:19] - 4 	 170.2 	 31.6 	 0.1000 	 1.8178 	 0.3500 	 2.0583 	 0.2339 	 1.8597 	 0.3186 	 2.0439 	 0.2442
[2020/01/13 02:06:41] - 5 	 170.0 	 31.5 	 0.1000 	 1.8119 	 0.3525 	 2.0569 	 0.2328 	 1.8270 	 0.3489 	 2.0140 	 0.2541
[2020/01/13 02:10:03] - 6 	 169.9 	 31.5 	 0.1000 	 1.8016 	 0.3575 	 2.0505 	 0.2352 	 1.7634 	 0.3756 	 1.9830 	 0.2581
[2020/01/13 02:13:25] - 7 	 169.9 	 31.6 	 0.1000 	 1.7860 	 0.3639 	 2.0416 	 0.2389 	 1.7825 	 0.3730 	 1.9977 	 0.2618
[2020/01/13 02:16:48] - 8 	 170.6 	 31.9 	 0.1000 	 1.7970 	 0.3593 	 2.0470 	 0.2375 	 1.7449 	 0.3794 	 2.0062 	 0.2567
[2020/01/13 02:20:11] - 9 	 171.0 	 32.0 	 0.1000 	 1.7982 	 0.3601 	 2.0484 	 0.2379 	 1.8114 	 0.3482 	 2.0523 	 0.2279
[2020/01/13 02:23:37] - 10 	 173.3 	 32.0 	 0.1000 	 1.7851 	 0.3641 	 2.0406 	 0.2378 	 1.7651 	 0.3608 	 2.0037 	 0.2635
[2020/01/13 02:27:03] - 11 	 173.3 	 32.0 	 0.1000 	 1.7840 	 0.3662 	 2.0395 	 0.2405 	 1.7736 	 0.3658 	 1.9908 	 0.2716
[2020/01/13 02:30:28] - 12 	 173.2 	 31.7 	 0.1000 	 1.7801 	 0.3662 	 2.0388 	 0.2390 	 1.8276 	 0.3560 	 2.0426 	 0.2507
[2020/01/13 02:33:50] - 13 	 170.3 	 31.5 	 0.1000 	 1.7862 	 0.3628 	 2.0407 	 0.2383 	 1.7425 	 0.3634 	 1.9832 	 0.2673
[2020/01/13 02:37:12] - 14 	 170.1 	 31.4 	 0.1000 	 1.7823 	 0.3669 	 2.0396 	 0.2377 	 1.7675 	 0.3724 	 1.9936 	 0.2602
[2020/01/13 02:40:34] - 15 	 170.0 	 31.5 	 0.1000 	 1.7765 	 0.3664 	 2.0367 	 0.2414 	 1.7642 	 0.3721 	 2.0230 	 0.2525
[2020/01/13 02:43:56] - 16 	 170.0 	 31.5 	 0.1000 	 1.7725 	 0.3685 	 2.0350 	 0.2410 	 1.7094 	 0.3766 	 1.9508 	 0.2725
[2020/01/13 02:47:18] - 17 	 169.9 	 31.5 	 0.1000 	 1.7670 	 0.3733 	 2.0319 	 0.2417 	 1.7859 	 0.3595 	 2.0095 	 0.2555
[2020/01/13 02:50:41] - 18 	 170.8 	 31.9 	 0.1000 	 1.7692 	 0.3704 	 2.0337 	 0.2391 	 1.8056 	 0.3663 	 2.0236 	 0.2598
[2020/01/13 02:54:05] - 19 	 171.7 	 31.8 	 0.1000 	 1.7721 	 0.3698 	 2.0340 	 0.2411 	 1.7840 	 0.3802 	 1.9885 	 0.2659
