[2020/01/10 20:29:26] - Namespace(attack='pgd', attack_iters=10, batch_size=128, data_dir='../cifar-data', epochs=200, epsilon=8, fgsm_alpha=1, fgsm_init='random', fname='experiments/cifar10_l2/preactresnet18_5', half=False, l1=0, l2=5.0, lr_max=0.1, lr_schedule='piecewise', model='PreActResNet18', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, width_factor=10)
[2020/01/10 20:29:36] - Epoch 	 Train Time 	 Test Time 	 LR 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2020/01/10 20:33:22] - 0 	 188.9 	 37.5 	 0.1000 	 2.3411 	 0.1131 	 2.4675 	 0.0793 	 11.0701 	 0.1106 	 12.7460 	 0.0957
[2020/01/10 20:37:17] - 1 	 197.1 	 36.9 	 0.1000 	 2.3090 	 0.1097 	 2.3663 	 0.0848 	 2.4570 	 0.1254 	 2.5458 	 0.1272
[2020/01/10 20:41:11] - 2 	 196.5 	 37.0 	 0.1000 	 2.3038 	 0.1077 	 2.3471 	 0.0822 	 4.5857 	 0.1017 	 5.4974 	 0.1068
[2020/01/10 20:45:06] - 3 	 196.3 	 37.5 	 0.1000 	 2.3027 	 0.1057 	 2.3337 	 0.0878 	 2.6947 	 0.1000 	 2.9899 	 0.1000
[2020/01/10 20:49:01] - 4 	 197.8 	 37.1 	 0.1000 	 2.3008 	 0.1057 	 2.3243 	 0.0887 	 73.8123 	 0.1000 	 88.5976 	 0.1000
[2020/01/10 20:52:56] - 5 	 197.8 	 36.8 	 0.1000 	 2.3011 	 0.1079 	 2.3198 	 0.0894 	 6.9538 	 0.1000 	 8.5306 	 0.1000
[2020/01/10 20:56:50] - 6 	 196.5 	 37.2 	 0.1000 	 2.3009 	 0.1066 	 2.3174 	 0.0942 	 2.3715 	 0.1000 	 2.3959 	 0.1000
[2020/01/10 21:00:46] - 7 	 198.0 	 36.8 	 0.1000 	 2.3013 	 0.1041 	 2.3152 	 0.0936 	 2.4253 	 0.1073 	 2.5022 	 0.1114
[2020/01/10 21:04:39] - 8 	 196.1 	 36.6 	 0.1000 	 2.3007 	 0.1074 	 2.3128 	 0.0935 	 12.9268 	 0.1000 	 15.4954 	 0.1000
[2020/01/10 21:08:33] - 9 	 196.2 	 37.4 	 0.1000 	 2.3018 	 0.1052 	 2.3121 	 0.0937 	 2.3037 	 0.1000 	 2.3038 	 0.1000
