[2020/01/10 20:27:59] - Namespace(attack='pgd', attack_iters=10, batch_size=128, data_dir='../cifar-data', epochs=200, epsilon=8, fgsm_alpha=1, fgsm_init='random', fname='experiments/cifar10_l2/preactresnet18_5e-3', half=False, l1=0, l2=0.005, lr_max=0.1, lr_schedule='piecewise', model='PreActResNet18', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, width_factor=10)
[2020/01/10 20:28:08] - Epoch 	 Train Time 	 Test Time 	 LR 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2020/01/10 20:31:40] - 0 	 178.8 	 33.4 	 0.1000 	 1.9814 	 0.2744 	 2.1705 	 0.1944 	 1.8861 	 0.3299 	 2.0761 	 0.2207
[2020/01/10 20:35:12] - 1 	 178.0 	 33.8 	 0.1000 	 1.8090 	 0.3442 	 2.0520 	 0.2333 	 1.7777 	 0.3539 	 2.0252 	 0.2507
[2020/01/10 20:38:44] - 2 	 177.3 	 33.7 	 0.1000 	 1.7369 	 0.3751 	 2.0113 	 0.2460 	 1.7286 	 0.3732 	 1.9868 	 0.2429
[2020/01/10 20:42:15] - 3 	 177.3 	 33.1 	 0.1000 	 1.6928 	 0.3960 	 1.9849 	 0.2545 	 1.6294 	 0.4371 	 1.9021 	 0.2822
[2020/01/10 20:45:45] - 4 	 176.5 	 33.1 	 0.1000 	 1.6504 	 0.4174 	 1.9623 	 0.2648 	 1.6968 	 0.3728 	 1.9441 	 0.2712
[2020/01/10 20:49:13] - 5 	 174.9 	 32.6 	 0.1000 	 1.6312 	 0.4284 	 1.9527 	 0.2679 	 1.5970 	 0.4175 	 1.8820 	 0.2940
[2020/01/10 20:52:42] - 6 	 175.2 	 32.7 	 0.1000 	 1.6065 	 0.4421 	 1.9400 	 0.2732 	 1.5533 	 0.4617 	 1.8795 	 0.2975
[2020/01/10 20:56:11] - 7 	 175.5 	 33.0 	 0.1000 	 1.5834 	 0.4516 	 1.9278 	 0.2780 	 1.5685 	 0.4397 	 1.8684 	 0.2934
[2020/01/10 20:59:39] - 8 	 174.8 	 32.7 	 0.1000 	 1.5793 	 0.4560 	 1.9280 	 0.2772 	 1.5095 	 0.4609 	 1.8702 	 0.2936
[2020/01/10 21:03:10] - 9 	 177.0 	 33.0 	 0.1000 	 1.5608 	 0.4649 	 1.9178 	 0.2813 	 1.5381 	 0.4676 	 1.8803 	 0.2915
[2020/01/10 21:06:42] - 10 	 176.5 	 35.0 	 0.1000 	 1.5437 	 0.4697 	 1.9076 	 0.2836 	 1.5074 	 0.4642 	 1.8650 	 0.3136
[2020/01/10 21:10:14] - 11 	 177.6 	 33.9 	 0.1000 	 1.5272 	 0.4762 	 1.8976 	 0.2873 	 1.5188 	 0.4766 	 1.8234 	 0.3280
[2020/01/10 21:13:47] - 12 	 177.6 	 34.1 	 0.1000 	 1.5273 	 0.4793 	 1.9006 	 0.2870 	 1.5501 	 0.4882 	 1.8628 	 0.3121
[2020/01/10 21:17:19] - 13 	 177.7 	 33.9 	 0.1000 	 1.5181 	 0.4836 	 1.8943 	 0.2886 	 1.4594 	 0.4740 	 1.8312 	 0.3121
[2020/01/10 21:20:50] - 14 	 177.1 	 33.4 	 0.1000 	 1.5083 	 0.4848 	 1.8875 	 0.2892 	 1.5123 	 0.4690 	 1.9199 	 0.2788
[2020/01/10 21:24:20] - 15 	 176.4 	 33.2 	 0.1000 	 1.5019 	 0.4897 	 1.8845 	 0.2916 	 1.4583 	 0.5033 	 1.8204 	 0.3130
[2020/01/10 21:27:50] - 16 	 176.4 	 33.1 	 0.1000 	 1.4923 	 0.4969 	 1.8803 	 0.2930 	 1.4596 	 0.4603 	 1.8086 	 0.3181
[2020/01/10 21:31:21] - 17 	 176.4 	 33.6 	 0.1000 	 1.4889 	 0.4960 	 1.8780 	 0.2948 	 1.4836 	 0.4534 	 1.8456 	 0.2981
[2020/01/10 21:34:53] - 18 	 177.5 	 34.0 	 0.1000 	 1.4907 	 0.4931 	 1.8805 	 0.2947 	 1.5228 	 0.4697 	 1.8494 	 0.3129
[2020/01/10 21:38:24] - 19 	 176.5 	 33.6 	 0.1000 	 1.4802 	 0.4992 	 1.8722 	 0.2975 	 1.4950 	 0.4648 	 1.8247 	 0.3168
[2020/01/10 21:41:55] - 20 	 176.8 	 33.4 	 0.1000 	 1.4784 	 0.5015 	 1.8722 	 0.2981 	 1.4989 	 0.4746 	 1.8284 	 0.3179
[2020/01/10 21:45:25] - 21 	 176.0 	 33.7 	 0.1000 	 1.4796 	 0.4954 	 1.8721 	 0.2969 	 1.5031 	 0.4900 	 1.8189 	 0.3133
[2020/01/10 21:48:56] - 22 	 176.6 	 33.7 	 0.1000 	 1.4736 	 0.5032 	 1.8680 	 0.3001 	 1.4285 	 0.5115 	 1.7870 	 0.3147
[2020/01/10 21:52:25] - 23 	 175.9 	 33.2 	 0.1000 	 1.4682 	 0.5065 	 1.8683 	 0.2983 	 1.4734 	 0.4932 	 1.8026 	 0.3156
[2020/01/10 21:55:54] - 24 	 175.1 	 33.2 	 0.1000 	 1.4640 	 0.5115 	 1.8637 	 0.2982 	 1.4515 	 0.5063 	 1.7880 	 0.3368
