[2020/02/01 20:20:05] - Namespace(attack='pgd', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=False, cutout_len=None, data_dir='../cifar-data', epochs=200, epsilon=8, eval=False, fgsm_alpha=1.25, fgsm_init='random', fname='experiments/cifar10_lr/preactresnet18_cosine', half=False, l1=0, l2=0, lr_drop_epoch=100, lr_max=0.1, lr_one_drop=0.01, lr_schedule='cosine', mixup=False, mixup_alpha=None, model='PreActResNet18', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)
[2020/02/01 20:20:09] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2020/02/01 20:25:40] - 0 	 278.8 	 	 52.8 	 	 0.1000 	 1.9679 	 0.2802 	 2.1582 	 	 0.1994 	 	 1.7504 	 0.3783 	 1.9658 	 	 0.2656
[2020/02/01 20:31:15] - 1 	 282.1 	 	 52.4 	 	 0.1000 	 1.7044 	 0.3849 	 1.9737 	 	 0.2589 	 	 1.5808 	 0.4435 	 1.8576 	 	 0.3152
[2020/02/01 20:36:49] - 2 	 280.6 	 	 52.2 	 	 0.0999 	 1.5827 	 0.4438 	 1.8991 	 	 0.2873 	 	 1.5527 	 0.4559 	 1.8490 	 	 0.3130
[2020/02/01 20:42:21] - 3 	 280.5 	 	 52.2 	 	 0.0999 	 1.4905 	 0.4798 	 1.8400 	 	 0.3043 	 	 1.4181 	 0.5201 	 1.7540 	 	 0.3411
[2020/02/01 20:47:55] - 4 	 280.9 	 	 52.2 	 	 0.0998 	 1.4031 	 0.5241 	 1.7888 	 	 0.3258 	 	 1.3840 	 0.5278 	 1.7338 	 	 0.3552
[2020/02/01 20:53:28] - 5 	 280.6 	 	 52.2 	 	 0.0998 	 1.3341 	 0.5548 	 1.7455 	 	 0.3428 	 	 1.2872 	 0.5656 	 1.6651 	 	 0.3785
[2020/02/01 20:59:02] - 6 	 280.8 	 	 52.2 	 	 0.0997 	 1.2794 	 0.5836 	 1.7083 	 	 0.3554 	 	 1.1910 	 0.6048 	 1.6142 	 	 0.3997
[2020/02/01 21:04:35] - 7 	 280.7 	 	 52.2 	 	 0.0996 	 1.2233 	 0.6075 	 1.6732 	 	 0.3668 	 	 1.1666 	 0.6198 	 1.6056 	 	 0.3930
[2020/02/01 21:10:08] - 8 	 280.9 	 	 52.2 	 	 0.0995 	 1.1822 	 0.6270 	 1.6457 	 	 0.3748 	 	 1.1294 	 0.6199 	 1.5811 	 	 0.3927
[2020/02/01 21:15:41] - 9 	 280.6 	 	 52.2 	 	 0.0994 	 1.1507 	 0.6412 	 1.6266 	 	 0.3834 	 	 1.0818 	 0.6557 	 1.5735 	 	 0.4052
[2020/02/01 21:21:15] - 10 	 280.6 	 	 52.2 	 	 0.0993 	 1.1237 	 0.6536 	 1.6092 	 	 0.3915 	 	 1.1146 	 0.6207 	 1.5784 	 	 0.4075
[2020/02/01 21:26:48] - 11 	 280.6 	 	 52.2 	 	 0.0991 	 1.0988 	 0.6637 	 1.5914 	 	 0.4005 	 	 1.1187 	 0.6479 	 1.5526 	 	 0.4186
[2020/02/01 21:32:22] - 12 	 280.8 	 	 52.2 	 	 0.0990 	 1.0806 	 0.6722 	 1.5811 	 	 0.4002 	 	 1.0536 	 0.6749 	 1.5286 	 	 0.4230
[2020/02/01 21:37:55] - 13 	 281.1 	 	 52.2 	 	 0.0988 	 1.0632 	 0.6817 	 1.5682 	 	 0.4082 	 	 1.0369 	 0.6609 	 1.5606 	 	 0.4122
