[2020/02/01 19:56:04] - Namespace(attack='pgd', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=False, cutout_len=None, data_dir='../cifar-data', epochs=200, epsilon=8, eval=False, fgsm_alpha=1.25, fgsm_init='random', fname='experiments/cifar10_lr/preactresnet18_cyclic', half=False, l1=0, l2=0, lr_drop_epoch=100, lr_max=0.2, lr_one_drop=0.01, lr_schedule='superconverge', mixup=False, mixup_alpha=None, model='PreActResNet18', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)
[2020/02/01 19:56:09] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2020/02/01 19:56:56] - Namespace(attack='pgd', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=False, cutout_len=None, data_dir='../cifar-data', epochs=200, epsilon=8, eval=False, fgsm_alpha=1.25, fgsm_init='random', fname='experiments/cifar10_lr/preactresnet18_cyclic', half=False, l1=0, l2=0, lr_drop_epoch=100, lr_max=0.2, lr_one_drop=0.01, lr_schedule='superconverge', mixup=False, mixup_alpha=None, model='PreActResNet18', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)
[2020/02/01 19:57:00] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2020/02/01 20:02:39] - 0 	 285.1 	 	 53.1 	 	 0.0025 	 2.1603 	 0.2125 	 2.4713 	 	 0.0928 	 	 2.0031 	 0.2704 	 2.1626 	 	 0.1900
[2020/02/01 20:08:22] - 1 	 289.5 	 	 53.7 	 	 0.0050 	 1.9085 	 0.3148 	 2.1086 	 	 0.2106 	 	 1.7501 	 0.3788 	 2.0012 	 	 0.2639
[2020/02/01 20:14:06] - 2 	 289.2 	 	 53.7 	 	 0.0075 	 1.7372 	 0.3747 	 2.0049 	 	 0.2452 	 	 1.6479 	 0.4201 	 1.9255 	 	 0.2807
[2020/02/01 20:20:09] - 3 	 304.8 	 	 57.9 	 	 0.0100 	 1.6372 	 0.4156 	 1.9408 	 	 0.2676 	 	 1.5399 	 0.4687 	 1.8565 	 	 0.3044
[2020/02/01 20:26:14] - 4 	 308.3 	 	 56.7 	 	 0.0125 	 1.5564 	 0.4517 	 1.8946 	 	 0.2853 	 	 1.5085 	 0.4720 	 1.8212 	 	 0.3212
[2020/02/01 20:32:19] - 5 	 307.2 	 	 56.8 	 	 0.0150 	 1.4927 	 0.4803 	 1.8579 	 	 0.2985 	 	 1.4123 	 0.4991 	 1.7701 	 	 0.3377
[2020/02/01 20:38:27] - 6 	 310.4 	 	 57.0 	 	 0.0175 	 1.4332 	 0.5059 	 1.8236 	 	 0.3114 	 	 1.3457 	 0.5438 	 1.7213 	 	 0.3579
[2020/02/01 20:44:32] - 7 	 308.3 	 	 57.1 	 	 0.0200 	 1.3621 	 0.5374 	 1.7789 	 	 0.3277 	 	 1.3038 	 0.5547 	 1.6989 	 	 0.3498
[2020/02/01 20:50:37] - 8 	 307.4 	 	 57.1 	 	 0.0225 	 1.3111 	 0.5596 	 1.7477 	 	 0.3362 	 	 1.2352 	 0.5743 	 1.6704 	 	 0.3631
[2020/02/01 20:56:43] - 9 	 308.7 	 	 57.0 	 	 0.0250 	 1.2619 	 0.5827 	 1.7161 	 	 0.3487 	 	 1.2112 	 0.5992 	 1.6648 	 	 0.3672
[2020/02/01 21:02:50] - 10 	 308.4 	 	 57.1 	 	 0.0275 	 1.2174 	 0.6029 	 1.6874 	 	 0.3592 	 	 1.1750 	 0.5942 	 1.6142 	 	 0.3927
[2020/02/01 21:08:56] - 11 	 308.2 	 	 57.0 	 	 0.0300 	 1.1785 	 0.6183 	 1.6577 	 	 0.3732 	 	 1.1666 	 0.6331 	 1.5936 	 	 0.4022
[2020/02/01 21:15:00] - 12 	 306.4 	 	 56.9 	 	 0.0325 	 1.1490 	 0.6354 	 1.6368 	 	 0.3765 	 	 1.1150 	 0.6423 	 1.5738 	 	 0.4029
[2020/02/01 21:21:04] - 13 	 307.0 	 	 57.3 	 	 0.0350 	 1.1231 	 0.6456 	 1.6182 	 	 0.3861 	 	 1.0784 	 0.6526 	 1.5903 	 	 0.3985
[2020/02/01 21:27:08] - 14 	 307.6 	 	 56.4 	 	 0.0375 	 1.0938 	 0.6605 	 1.5926 	 	 0.3952 	 	 1.0529 	 0.6669 	 1.5301 	 	 0.4165
[2020/02/01 21:33:13] - 15 	 306.9 	 	 57.1 	 	 0.0400 	 1.0685 	 0.6720 	 1.5730 	 	 0.4013 	 	 1.0395 	 0.6844 	 1.5254 	 	 0.4270
[2020/02/01 21:39:19] - 16 	 308.6 	 	 57.3 	 	 0.0425 	 1.0487 	 0.6832 	 1.5571 	 	 0.4066 	 	 1.0389 	 0.6543 	 1.5104 	 	 0.4303
[2020/02/01 21:45:04] - 17 	 291.6 	 	 52.9 	 	 0.0450 	 1.0298 	 0.6900 	 1.5425 	 	 0.4137 	 	 1.0396 	 0.6816 	 1.5167 	 	 0.4347
[2020/02/01 21:50:46] - 18 	 287.9 	 	 53.5 	 	 0.0475 	 1.0151 	 0.6954 	 1.5312 	 	 0.4156 	 	 0.9903 	 0.6914 	 1.5411 	 	 0.4177
[2020/02/01 21:56:28] - 19 	 289.0 	 	 53.5 	 	 0.0500 	 0.9965 	 0.7057 	 1.5158 	 	 0.4240 	 	 0.9827 	 0.6890 	 1.4917 	 	 0.4381
[2020/02/01 22:02:11] - 20 	 287.7 	 	 53.8 	 	 0.0525 	 0.9818 	 0.7125 	 1.5052 	 	 0.4275 	 	 0.9982 	 0.7014 	 1.4858 	 	 0.4436
[2020/02/01 22:07:55] - 21 	 289.6 	 	 53.2 	 	 0.0550 	 0.9684 	 0.7152 	 1.4926 	 	 0.4330 	 	 1.0007 	 0.6876 	 1.4918 	 	 0.4383
[2020/02/01 22:13:37] - 22 	 289.1 	 	 53.4 	 	 0.0575 	 0.9568 	 0.7206 	 1.4858 	 	 0.4368 	 	 0.9757 	 0.7096 	 1.4661 	 	 0.4492
[2020/02/01 22:19:20] - 23 	 288.8 	 	 53.5 	 	 0.0600 	 0.9466 	 0.7276 	 1.4812 	 	 0.4376 	 	 0.9572 	 0.7175 	 1.4661 	 	 0.4468
[2020/02/01 22:25:02] - 24 	 288.7 	 	 53.4 	 	 0.0625 	 0.9368 	 0.7314 	 1.4712 	 	 0.4398 	 	 0.9696 	 0.6915 	 1.4450 	 	 0.4623
