[2020/01/16 15:53:57] - Namespace(attack='pgd', attack_iters=10, batch_size=128, cutout=False, cutout_len=None, data_dir='../cifar-data', epochs=500, epsilon=8, fgsm_alpha=1, fgsm_init='random', fname='experiments/cifar10_lr/preactresnet18_manystep', half=False, l1=0, l2=0, lr_max=0.1, lr_schedule='manystep', mixup=False, mixup_alpha=None, model='PreActResNet18', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, width_factor=10)
[2020/01/16 15:54:02] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2020/01/16 15:55:18] - Namespace(attack='pgd', attack_iters=10, batch_size=128, cutout=False, cutout_len=None, data_dir='../cifar-data', epochs=500, epsilon=8, fgsm_alpha=1, fgsm_init='random', fname='experiments/cifar10_lr/preactresnet18_manystep', half=False, l1=0, l2=0, lr_max=0.1, lr_schedule='manystep', mixup=False, mixup_alpha=None, model='PreActResNet18', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, width_factor=10)
[2020/01/16 15:55:23] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2020/01/16 15:58:47] - 0 	 172.6 	 	 32.2 	 	 0.1000 	 1.9587 	 0.2820 	 2.1509 	 	 0.2011 	 	 1.7533 	 0.3708 	 1.9762 	 	 0.2585
[2020/01/16 16:02:14] - 1 	 173.5 	 	 32.5 	 	 0.1000 	 1.7024 	 0.3846 	 1.9730 	 	 0.2592 	 	 1.5898 	 0.4392 	 1.8680 	 	 0.3075
[2020/01/16 16:05:41] - 2 	 173.4 	 	 32.1 	 	 0.1000 	 1.5809 	 0.4446 	 1.8982 	 	 0.2874 	 	 1.5603 	 0.4473 	 1.8523 	 	 0.3124
[2020/01/16 16:09:07] - 3 	 173.3 	 	 32.0 	 	 0.1000 	 1.4915 	 0.4792 	 1.8409 	 	 0.3033 	 	 1.4086 	 0.5258 	 1.7480 	 	 0.3440
[2020/01/16 16:12:33] - 4 	 173.5 	 	 32.0 	 	 0.1000 	 1.4056 	 0.5233 	 1.7910 	 	 0.3235 	 	 1.3970 	 0.5267 	 1.7413 	 	 0.3500
[2020/01/16 16:16:00] - 5 	 173.4 	 	 32.1 	 	 0.1000 	 1.3348 	 0.5552 	 1.7458 	 	 0.3418 	 	 1.2892 	 0.5585 	 1.6652 	 	 0.3738
[2020/01/16 16:19:26] - 6 	 173.5 	 	 32.1 	 	 0.1000 	 1.2811 	 0.5833 	 1.7103 	 	 0.3544 	 	 1.1953 	 0.6034 	 1.6156 	 	 0.3996
[2020/01/16 16:22:53] - 7 	 173.5 	 	 32.1 	 	 0.1000 	 1.2272 	 0.6066 	 1.6758 	 	 0.3651 	 	 1.1696 	 0.6186 	 1.6103 	 	 0.3936
[2020/01/16 16:26:18] - 8 	 172.9 	 	 32.1 	 	 0.1000 	 1.1860 	 0.6265 	 1.6490 	 	 0.3734 	 	 1.1334 	 0.6218 	 1.5847 	 	 0.3949
[2020/01/16 16:29:45] - 9 	 173.4 	 	 32.0 	 	 0.1000 	 1.1563 	 0.6383 	 1.6307 	 	 0.3825 	 	 1.0909 	 0.6530 	 1.5795 	 	 0.4050
