[2020/01/16 00:10:09] - Namespace(attack='pgd', attack_iters=10, batch_size=128, cutout=False, cutout_len=None, data_dir='../cifar-data', epochs=200, epsilon=8, fgsm_alpha=1, fgsm_init='random', fname='experiments/cifar10_lr/preactresnet18_piecewisezoom', half=False, l1=0, l2=0, lr_max=0.1, lr_schedule='piecewisezoom', mixup=False, mixup_alpha=None, model='PreActResNet18', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, width_factor=10)
[2020/01/16 00:10:26] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2020/01/16 00:13:51] - 0 	 173.2 	 	 32.2 	 	 0.1000 	 1.9531 	 0.2843 	 2.1494 	 	 0.2021 	 	 1.7354 	 0.3782 	 1.9630 	 	 0.2639
[2020/01/16 00:17:17] - 1 	 173.1 	 	 31.9 	 	 0.1000 	 1.7048 	 0.3858 	 1.9741 	 	 0.2585 	 	 1.5900 	 0.4368 	 1.8696 	 	 0.3057
[2020/01/16 00:20:43] - 2 	 173.1 	 	 31.9 	 	 0.1000 	 1.5819 	 0.4433 	 1.8982 	 	 0.2879 	 	 1.5494 	 0.4586 	 1.8496 	 	 0.3129
[2020/01/16 00:24:09] - 3 	 173.2 	 	 31.9 	 	 0.1000 	 1.4892 	 0.4800 	 1.8389 	 	 0.3024 	 	 1.4168 	 0.5195 	 1.7469 	 	 0.3431
[2020/01/16 00:27:35] - 4 	 173.1 	 	 31.9 	 	 0.1000 	 1.4042 	 0.5244 	 1.7896 	 	 0.3234 	 	 1.3818 	 0.5323 	 1.7302 	 	 0.3571
[2020/01/16 00:31:01] - 5 	 173.4 	 	 31.9 	 	 0.1000 	 1.3351 	 0.5550 	 1.7459 	 	 0.3422 	 	 1.2966 	 0.5594 	 1.6650 	 	 0.3746
[2020/01/16 00:34:27] - 6 	 173.0 	 	 32.0 	 	 0.1000 	 1.2795 	 0.5843 	 1.7086 	 	 0.3556 	 	 1.1890 	 0.6034 	 1.6115 	 	 0.3996
[2020/01/16 00:37:52] - 7 	 172.9 	 	 31.8 	 	 0.1000 	 1.2260 	 0.6055 	 1.6749 	 	 0.3657 	 	 1.1722 	 0.6201 	 1.6099 	 	 0.3905
[2020/01/16 00:41:18] - 8 	 172.9 	 	 31.8 	 	 0.1000 	 1.1855 	 0.6255 	 1.6482 	 	 0.3734 	 	 1.1362 	 0.6155 	 1.5860 	 	 0.3991
[2020/01/16 00:44:44] - 9 	 173.2 	 	 32.0 	 	 0.1000 	 1.1560 	 0.6381 	 1.6316 	 	 0.3824 	 	 1.0988 	 0.6514 	 1.5787 	 	 0.4075
[2020/01/16 00:48:10] - 10 	 173.2 	 	 31.8 	 	 0.1000 	 1.1277 	 0.6517 	 1.6129 	 	 0.3917 	 	 1.1129 	 0.6236 	 1.5759 	 	 0.4127
[2020/01/16 00:51:35] - 11 	 173.0 	 	 31.8 	 	 0.1000 	 1.1013 	 0.6633 	 1.5935 	 	 0.3982 	 	 1.1227 	 0.6518 	 1.5620 	 	 0.4180
[2020/01/16 00:55:01] - 12 	 172.9 	 	 31.8 	 	 0.1000 	 1.0837 	 0.6710 	 1.5838 	 	 0.3989 	 	 1.0429 	 0.6725 	 1.5188 	 	 0.4253
[2020/01/16 00:58:26] - 13 	 172.2 	 	 31.8 	 	 0.1000 	 1.0652 	 0.6793 	 1.5711 	 	 0.4068 	 	 1.0355 	 0.6658 	 1.5726 	 	 0.4072
[2020/01/16 01:01:51] - 14 	 172.2 	 	 31.8 	 	 0.1000 	 1.0471 	 0.6868 	 1.5574 	 	 0.4090 	 	 1.0232 	 0.6809 	 1.5283 	 	 0.4174
[2020/01/16 01:05:16] - 15 	 172.7 	 	 31.8 	 	 0.1000 	 1.0310 	 0.6952 	 1.5458 	 	 0.4145 	 	 1.0096 	 0.6964 	 1.5029 	 	 0.4411
[2020/01/16 01:08:41] - 16 	 172.8 	 	 31.8 	 	 0.1000 	 1.0203 	 0.6996 	 1.5373 	 	 0.4164 	 	 1.0219 	 0.6522 	 1.5154 	 	 0.4359
[2020/01/16 01:12:07] - 17 	 172.6 	 	 32.0 	 	 0.1000 	 1.0035 	 0.7041 	 1.5271 	 	 0.4216 	 	 1.0203 	 0.6908 	 1.5054 	 	 0.4401
[2020/01/16 01:15:32] - 18 	 172.9 	 	 31.7 	 	 0.1000 	 0.9965 	 0.7056 	 1.5219 	 	 0.4221 	 	 0.9566 	 0.7028 	 1.5058 	 	 0.4281
[2020/01/16 01:18:58] - 19 	 172.7 	 	 31.8 	 	 0.1000 	 0.9826 	 0.7137 	 1.5101 	 	 0.4273 	 	 0.9873 	 0.6993 	 1.4936 	 	 0.4437
[2020/01/16 01:22:23] - 20 	 172.7 	 	 31.8 	 	 0.1000 	 0.9728 	 0.7187 	 1.5037 	 	 0.4307 	 	 0.9875 	 0.6897 	 1.4993 	 	 0.4380
[2020/01/16 01:25:49] - 21 	 172.9 	 	 31.8 	 	 0.1000 	 0.9688 	 0.7163 	 1.4988 	 	 0.4329 	 	 1.0050 	 0.6825 	 1.4806 	 	 0.4478
[2020/01/16 01:29:14] - 22 	 172.8 	 	 31.7 	 	 0.1000 	 0.9599 	 0.7231 	 1.4937 	 	 0.4336 	 	 0.9590 	 0.7138 	 1.4693 	 	 0.4485
[2020/01/16 01:32:40] - 23 	 172.7 	 	 31.8 	 	 0.1000 	 0.9524 	 0.7265 	 1.4909 	 	 0.4349 	 	 0.9544 	 0.7121 	 1.4611 	 	 0.4417
[2020/01/16 01:36:05] - 24 	 172.7 	 	 31.8 	 	 0.1000 	 0.9443 	 0.7303 	 1.4827 	 	 0.4369 	 	 0.9991 	 0.6785 	 1.4586 	 	 0.4539
