[2020/01/26 15:36:45] - Namespace(attack='pgd', attack_iters=10, batch_size=128, cutout=False, cutout_len=None, data_dir='../cifar-data', epochs=400, epsilon=8, eval=False, fgsm_alpha=1, fgsm_init='random', fname='experiments/cifar10_lr/preactresnet18_piecewisezoom_long', half=False, l1=0, l2=0, lr_max=0.1, lr_schedule='piecewisezoom', mixup=False, mixup_alpha=None, model='PreActResNet18', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)
[2020/01/26 15:44:36] - Namespace(attack='pgd', attack_iters=10, batch_size=128, cutout=False, cutout_len=None, data_dir='../cifar-data', epochs=400, epsilon=8, eval=False, fgsm_alpha=1, fgsm_init='random', fname='experiments/cifar10_lr/preactresnet18_piecewisezoom_long', half=False, l1=0, l2=0, lr_max=0.1, lr_schedule='piecewisezoom', mixup=False, mixup_alpha=None, model='PreActResNet18', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)
[2020/01/26 15:45:24] - Namespace(attack='pgd', attack_iters=10, batch_size=128, cutout=False, cutout_len=None, data_dir='../cifar-data', epochs=400, epsilon=8, eval=False, fgsm_alpha=1, fgsm_init='random', fname='experiments/cifar10_lr/preactresnet18_piecewisezoom_long', half=False, l1=0, l2=0, lr_max=0.1, lr_schedule='piecewisezoom', mixup=False, mixup_alpha=None, model='PreActResNet18', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)
[2020/01/26 17:51:39] - Namespace(attack='pgd', attack_iters=10, batch_size=128, cutout=False, cutout_len=None, data_dir='../cifar-data', epochs=400, epsilon=8, eval=False, fgsm_alpha=1, fgsm_init='random', fname='experiments/cifar10_lr/preactresnet18_piecewisezoom_long', half=False, l1=0, l2=0, lr_max=0.1, lr_schedule='piecewisezoom', mixup=False, mixup_alpha=None, model='PreActResNet18', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)
[2020/01/26 17:51:43] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2020/01/26 17:55:08] - 0 	 172.4 	 	 32.4 	 	 0.1000 	 1.9576 	 0.2840 	 2.1534 	 	 0.2003 	 	 1.7501 	 0.3715 	 1.9670 	 	 0.2600
[2020/01/26 17:58:34] - 1 	 173.5 	 	 32.3 	 	 0.1000 	 1.7011 	 0.3852 	 1.9721 	 	 0.2599 	 	 1.5830 	 0.4354 	 1.8640 	 	 0.3064
[2020/01/26 18:02:01] - 2 	 173.7 	 	 32.3 	 	 0.1000 	 1.5801 	 0.4448 	 1.8971 	 	 0.2885 	 	 1.5469 	 0.4593 	 1.8482 	 	 0.3146
[2020/01/26 18:05:28] - 3 	 174.0 	 	 32.4 	 	 0.1000 	 1.4893 	 0.4798 	 1.8393 	 	 0.3035 	 	 1.4202 	 0.5165 	 1.7588 	 	 0.3414
[2020/01/26 18:08:56] - 4 	 174.0 	 	 32.3 	 	 0.1000 	 1.4034 	 0.5243 	 1.7892 	 	 0.3253 	 	 1.3868 	 0.5307 	 1.7339 	 	 0.3547
[2020/01/26 18:12:23] - 5 	 174.0 	 	 32.4 	 	 0.1000 	 1.3336 	 0.5566 	 1.7452 	 	 0.3423 	 	 1.2859 	 0.5609 	 1.6690 	 	 0.3756
[2020/01/26 18:15:50] - 6 	 174.0 	 	 32.3 	 	 0.1000 	 1.2770 	 0.5854 	 1.7073 	 	 0.3565 	 	 1.1918 	 0.6055 	 1.6148 	 	 0.4003
[2020/01/26 18:19:17] - 7 	 173.9 	 	 32.3 	 	 0.1000 	 1.2224 	 0.6088 	 1.6725 	 	 0.3677 	 	 1.1601 	 0.6257 	 1.6078 	 	 0.3920
[2020/01/26 18:22:44] - 8 	 174.0 	 	 32.4 	 	 0.1000 	 1.1836 	 0.6269 	 1.6475 	 	 0.3738 	 	 1.1370 	 0.6160 	 1.5843 	 	 0.3967
[2020/01/26 18:26:11] - 9 	 173.9 	 	 32.4 	 	 0.1000 	 1.1516 	 0.6410 	 1.6274 	 	 0.3826 	 	 1.0951 	 0.6513 	 1.5801 	 	 0.4071
[2020/01/26 18:29:39] - 10 	 173.9 	 	 32.3 	 	 0.1000 	 1.1240 	 0.6524 	 1.6096 	 	 0.3907 	 	 1.1053 	 0.6233 	 1.5768 	 	 0.4083
[2020/01/26 18:33:06] - 11 	 173.9 	 	 32.3 	 	 0.1000 	 1.0978 	 0.6641 	 1.5919 	 	 0.3969 	 	 1.1270 	 0.6485 	 1.5643 	 	 0.4161
[2020/01/26 18:36:33] - 12 	 173.9 	 	 32.3 	 	 0.1000 	 1.0800 	 0.6729 	 1.5816 	 	 0.4004 	 	 1.0487 	 0.6763 	 1.5270 	 	 0.4235
[2020/01/26 18:40:00] - 13 	 173.9 	 	 32.3 	 	 0.1000 	 1.0624 	 0.6802 	 1.5686 	 	 0.4073 	 	 1.0319 	 0.6668 	 1.5599 	 	 0.4118
[2020/01/26 18:43:27] - 14 	 173.9 	 	 32.4 	 	 0.1000 	 1.0441 	 0.6872 	 1.5547 	 	 0.4109 	 	 1.0214 	 0.6843 	 1.5305 	 	 0.4194
[2020/01/26 18:46:54] - 15 	 173.9 	 	 32.3 	 	 0.1000 	 1.0272 	 0.6958 	 1.5428 	 	 0.4134 	 	 1.0082 	 0.6921 	 1.5068 	 	 0.4347
[2020/01/26 18:50:21] - 16 	 173.9 	 	 32.3 	 	 0.1000 	 1.0150 	 0.7013 	 1.5340 	 	 0.4175 	 	 1.0128 	 0.6519 	 1.5031 	 	 0.4368
[2020/01/26 18:53:48] - 17 	 173.9 	 	 32.3 	 	 0.1000 	 1.0018 	 0.7055 	 1.5257 	 	 0.4217 	 	 1.0144 	 0.6932 	 1.4936 	 	 0.4452
[2020/01/26 18:57:15] - 18 	 173.8 	 	 32.3 	 	 0.1000 	 0.9929 	 0.7078 	 1.5189 	 	 0.4211 	 	 0.9483 	 0.7081 	 1.5095 	 	 0.4261
[2020/01/26 19:00:42] - 19 	 173.8 	 	 32.3 	 	 0.1000 	 0.9784 	 0.7164 	 1.5072 	 	 0.4290 	 	 0.9815 	 0.6967 	 1.4977 	 	 0.4411
[2020/01/26 19:04:09] - 20 	 173.9 	 	 32.3 	 	 0.1000 	 0.9702 	 0.7195 	 1.5017 	 	 0.4304 	 	 0.9791 	 0.6921 	 1.4926 	 	 0.4389
[2020/01/26 19:07:36] - 21 	 173.9 	 	 32.3 	 	 0.1000 	 0.9664 	 0.7175 	 1.4969 	 	 0.4339 	 	 1.0081 	 0.6835 	 1.4885 	 	 0.4423
[2020/01/26 19:11:03] - 22 	 173.8 	 	 32.3 	 	 0.1000 	 0.9558 	 0.7243 	 1.4908 	 	 0.4351 	 	 0.9615 	 0.7108 	 1.4674 	 	 0.4497
[2020/01/26 19:14:30] - 23 	 173.8 	 	 32.3 	 	 0.1000 	 0.9490 	 0.7282 	 1.4892 	 	 0.4337 	 	 0.9511 	 0.7134 	 1.4647 	 	 0.4410
[2020/01/26 19:17:57] - 24 	 173.8 	 	 32.3 	 	 0.1000 	 0.9427 	 0.7315 	 1.4815 	 	 0.4373 	 	 0.9934 	 0.6839 	 1.4628 	 	 0.4524
[2020/01/26 19:21:24] - 25 	 173.8 	 	 32.3 	 	 0.1000 	 0.9304 	 0.7356 	 1.4733 	 	 0.4402 	 	 0.9410 	 0.7064 	 1.4626 	 	 0.4534
[2020/01/26 19:24:51] - 26 	 173.8 	 	 32.3 	 	 0.1000 	 0.9296 	 0.7345 	 1.4715 	 	 0.4394 	 	 0.9413 	 0.7163 	 1.4757 	 	 0.4500
[2020/01/26 19:28:18] - 27 	 173.8 	 	 32.3 	 	 0.1000 	 0.9237 	 0.7392 	 1.4686 	 	 0.4402 	 	 0.9681 	 0.7134 	 1.4728 	 	 0.4538
[2020/01/26 19:31:46] - 28 	 174.1 	 	 32.3 	 	 0.1000 	 0.9212 	 0.7380 	 1.4660 	 	 0.4425 	 	 0.9516 	 0.7055 	 1.4677 	 	 0.4475
[2020/01/26 19:35:21] - 29 	 179.0 	 	 35.2 	 	 0.1000 	 0.9180 	 0.7395 	 1.4614 	 	 0.4456 	 	 0.9198 	 0.7275 	 1.4309 	 	 0.4615
[2020/01/26 19:39:03] - 30 	 186.5 	 	 34.7 	 	 0.1000 	 0.9119 	 0.7438 	 1.4584 	 	 0.4412 	 	 0.9521 	 0.7106 	 1.4737 	 	 0.4443
[2020/01/26 19:43:12] - 31 	 209.1 	 	 39.3 	 	 0.1000 	 0.9053 	 0.7467 	 1.4542 	 	 0.4472 	 	 0.9292 	 0.7299 	 1.4556 	 	 0.4570
[2020/01/26 19:47:35] - 32 	 222.9 	 	 39.4 	 	 0.1000 	 0.8998 	 0.7466 	 1.4499 	 	 0.4491 	 	 0.9208 	 0.7239 	 1.4775 	 	 0.4496
[2020/01/26 19:52:03] - 33 	 226.6 	 	 40.1 	 	 0.1000 	 0.9040 	 0.7446 	 1.4524 	 	 0.4474 	 	 0.9238 	 0.7228 	 1.4640 	 	 0.4557
[2020/01/26 19:56:26] - 34 	 224.1 	 	 37.9 	 	 0.1000 	 0.8965 	 0.7484 	 1.4481 	 	 0.4494 	 	 0.8748 	 0.7386 	 1.4156 	 	 0.4671
[2020/01/26 20:00:53] - 35 	 224.9 	 	 41.2 	 	 0.1000 	 0.8909 	 0.7522 	 1.4442 	 	 0.4501 	 	 0.9259 	 0.7313 	 1.4637 	 	 0.4622
[2020/01/26 20:05:17] - 36 	 219.6 	 	 42.8 	 	 0.1000 	 0.8934 	 0.7495 	 1.4434 	 	 0.4520 	 	 0.9355 	 0.7259 	 1.4637 	 	 0.4570
[2020/01/26 20:09:35] - 37 	 216.6 	 	 40.3 	 	 0.1000 	 0.8904 	 0.7515 	 1.4450 	 	 0.4521 	 	 0.9088 	 0.7411 	 1.4350 	 	 0.4632
[2020/01/26 20:13:58] - 38 	 223.3 	 	 38.2 	 	 0.1000 	 0.8858 	 0.7535 	 1.4388 	 	 0.4512 	 	 0.9278 	 0.7274 	 1.4584 	 	 0.4533
