[2020/01/30 08:35:44] - Namespace(attack='pgd', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=False, cutout_len=None, data_dir='../cifar-data', epochs=200, epsilon=8, eval=False, fgsm_alpha=1.25, fgsm_init='random', fname='experiments/cifar10_mixup/preactresnet18_1.4', half=False, l1=0, l2=0, lr_drop_epoch=100, lr_max=0.1, lr_one_drop=0.01, lr_schedule='piecewise', mixup=True, mixup_alpha=1.4, model='PreActResNet18', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)
[2020/01/30 08:39:07] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2020/01/30 08:54:50] - 0 	 845.7 	 	 96.8 	 	 0.1000 	 2.2113 	 0.1600 	 2.2910 	 	 0.1270 	 	 2.0733 	 0.2663 	 2.1539 	 	 0.2098
[2020/01/30 09:10:49] - 1 	 872.8 	 	 84.6 	 	 0.1000 	 2.1225 	 0.2033 	 2.2261 	 	 0.1515 	 	 1.9703 	 0.3425 	 2.0704 	 	 0.2633
[2020/01/30 09:26:29] - 2 	 846.6 	 	 93.4 	 	 0.1000 	 2.0650 	 0.2208 	 2.1961 	 	 0.1600 	 	 1.8486 	 0.3788 	 1.9852 	 	 0.2821
[2020/01/30 09:42:30] - 3 	 858.1 	 	 101.8 	 	 0.1000 	 2.0326 	 0.2332 	 2.1789 	 	 0.1657 	 	 1.7871 	 0.3689 	 1.9621 	 	 0.2855
[2020/01/30 09:58:00] - 4 	 835.3 	 	 94.2 	 	 0.1000 	 2.0205 	 0.2358 	 2.1738 	 	 0.1659 	 	 1.8074 	 0.3864 	 1.9569 	 	 0.2952
[2020/01/30 10:13:47] - 5 	 841.9 	 	 104.4 	 	 0.1000 	 2.0016 	 0.2582 	 2.1642 	 	 0.1765 	 	 1.7412 	 0.4324 	 1.9222 	 	 0.3141
[2020/01/30 10:29:25] - 6 	 854.0 	 	 82.3 	 	 0.1000 	 1.9886 	 0.2657 	 2.1600 	 	 0.1767 	 	 1.7637 	 0.4284 	 1.9331 	 	 0.3125
[2020/01/30 10:45:56] - 7 	 886.6 	 	 104.8 	 	 0.1000 	 1.9641 	 0.2676 	 2.1447 	 	 0.1759 	 	 1.7471 	 0.4688 	 1.9038 	 	 0.3512
[2020/01/30 11:01:27] - 8 	 851.6 	 	 79.0 	 	 0.1000 	 1.9566 	 0.2875 	 2.1429 	 	 0.1877 	 	 1.6821 	 0.4616 	 1.8674 	 	 0.3405
[2020/01/30 11:18:01] - 9 	 897.5 	 	 96.5 	 	 0.1000 	 1.9401 	 0.2763 	 2.1361 	 	 0.1791 	 	 1.6967 	 0.4455 	 1.8950 	 	 0.3216
[2020/01/30 11:34:07] - 10 	 863.3 	 	 101.7 	 	 0.1000 	 1.9320 	 0.2801 	 2.1303 	 	 0.1831 	 	 1.6172 	 0.4815 	 1.8425 	 	 0.3333
