[2020/01/10 19:31:00] - Namespace(attack='pgd', attack_iters=10, batch_size=128, data_dir='../cifar-data', epochs=200, epsilon=8, fgsm_alpha=1, fgsm_init='random', fname='experiments/cifar10_standard/preactresnet18', half=False, lr_max=0.1, lr_schedule='piecewise', model='PreActResNet18', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, width_factor=10)
[2020/01/10 19:31:07] - Epoch 	 Train Time 	 Test Time 	 LR 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2020/01/10 19:33:44] - Namespace(attack='pgd', attack_iters=10, batch_size=128, data_dir='../cifar-data', epochs=200, epsilon=8, fgsm_alpha=1, fgsm_init='random', fname='experiments/cifar10_standard/preactresnet18', half=False, lr_max=0.1, lr_schedule='piecewise', model='PreActResNet18', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, width_factor=10)
[2020/01/10 19:33:51] - Epoch 	 Train Time 	 Test Time 	 LR 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2020/01/10 19:37:23] - 0 	 178.2 	 33.7 	 0.1000 	 1.9526 	 0.2862 	 2.1490 	 0.2018 	 1.7330 	 0.3795 	 1.9642 	 0.2658
[2020/01/10 19:41:01] - 1 	 183.3 	 34.0 	 0.1000 	 1.6984 	 0.3874 	 1.9716 	 0.2596 	 1.5855 	 0.4380 	 1.8695 	 0.3056
[2020/01/10 19:44:37] - 2 	 182.1 	 33.7 	 0.1000 	 1.5757 	 0.4461 	 1.8955 	 0.2884 	 1.5562 	 0.4543 	 1.8559 	 0.3100
[2020/01/10 19:48:12] - 3 	 181.1 	 33.5 	 0.1000 	 1.4878 	 0.4811 	 1.8391 	 0.3035 	 1.4147 	 0.5196 	 1.7521 	 0.3431
[2020/01/10 19:51:48] - 4 	 181.1 	 33.5 	 0.1000 	 1.4029 	 0.5253 	 1.7892 	 0.3246 	 1.3832 	 0.5296 	 1.7323 	 0.3558
[2020/01/10 19:55:23] - 5 	 180.7 	 33.5 	 0.1000 	 1.3326 	 0.5549 	 1.7445 	 0.3424 	 1.2905 	 0.5592 	 1.6672 	 0.3738
[2020/01/10 19:58:58] - 6 	 180.9 	 33.6 	 0.1000 	 1.2797 	 0.5837 	 1.7096 	 0.3542 	 1.1891 	 0.6033 	 1.6162 	 0.3976
[2020/01/10 20:02:35] - 7 	 182.7 	 34.5 	 0.1000 	 1.2253 	 0.6069 	 1.6746 	 0.3657 	 1.1688 	 0.6189 	 1.6108 	 0.3916
