[2020/01/09 18:42:39] - Namespace(attack='none', attack_iters=10, batch_size=128, data_dir='../cifar-data', epochs=200, epsilon=8, fgsm_alpha=1, fgsm_init='random', fname='experiments/cifar10_standard/wideresnet_10', half=False, lr_max=0.1, lr_schedule='piecewise', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, width_factor=10)
[2020/01/09 18:42:44] - Epoch 	 Train Time 	 Test Time 	 LR 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2020/01/09 18:46:05] - Namespace(attack='none', attack_iters=10, batch_size=128, data_dir='../cifar-data', epochs=200, epsilon=8, fgsm_alpha=1, fgsm_init='random', fname='experiments/cifar10_standard/wideresnet_10', half=False, lr_max=0.1, lr_schedule='piecewise', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, width_factor=10)
[2020/01/09 18:46:10] - Epoch 	 Train Time 	 Test Time 	 LR 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2020/01/09 18:54:35] - 0 	 463.4 	 42.0 	 0.1000 	 1.4322 	 0.4789 	 1.5416 	 0.4384 	 1.1548 	 0.5889 	 1.1548 	 0.5889
[2020/01/09 19:02:43] - 1 	 444.3 	 41.7 	 0.1000 	 0.8869 	 0.6901 	 0.9871 	 0.6525 	 0.7658 	 0.7312 	 0.7658 	 0.7312
[2020/01/09 19:10:52] - 2 	 445.3 	 41.7 	 0.1000 	 0.6611 	 0.7751 	 0.7612 	 0.7351 	 0.7280 	 0.7512 	 0.7280 	 0.7512
[2020/01/09 19:19:01] - 3 	 445.5 	 41.7 	 0.1000 	 0.5488 	 0.8170 	 0.6480 	 0.7780 	 0.5570 	 0.8095 	 0.5570 	 0.8095
[2020/01/09 19:27:09] - 4 	 444.9 	 41.7 	 0.1000 	 0.4773 	 0.8430 	 0.5790 	 0.8018 	 0.5403 	 0.8160 	 0.5403 	 0.8160
[2020/01/09 19:35:19] - 5 	 446.2 	 41.8 	 0.1000 	 0.4296 	 0.8609 	 0.5331 	 0.8177 	 0.5856 	 0.8007 	 0.5856 	 0.8007
[2020/01/09 19:43:27] - 6 	 445.5 	 40.9 	 0.1000 	 0.3883 	 0.8756 	 0.4956 	 0.8305 	 0.5359 	 0.8180 	 0.5359 	 0.8180
[2020/01/09 19:51:38] - 7 	 448.2 	 40.8 	 0.1000 	 0.3551 	 0.8885 	 0.4678 	 0.8412 	 0.4780 	 0.8380 	 0.4780 	 0.8380
[2020/01/09 19:59:47] - 8 	 446.8 	 40.2 	 0.1000 	 0.3276 	 0.9000 	 0.4439 	 0.8497 	 0.4591 	 0.8460 	 0.4591 	 0.8460
[2020/01/09 20:07:55] - 9 	 446.5 	 40.4 	 0.1000 	 0.3073 	 0.9077 	 0.4289 	 0.8534 	 0.5045 	 0.8335 	 0.5045 	 0.8335
[2020/01/09 20:16:07] - 10 	 448.9 	 40.8 	 0.1000 	 0.2912 	 0.9135 	 0.4154 	 0.8596 	 0.4308 	 0.8574 	 0.4308 	 0.8574
[2020/01/09 20:24:16] - 11 	 446.6 	 41.2 	 0.1000 	 0.2738 	 0.9190 	 0.4014 	 0.8636 	 0.5733 	 0.8137 	 0.5733 	 0.8137
[2020/01/09 20:32:26] - 12 	 446.6 	 41.6 	 0.1000 	 0.2657 	 0.9225 	 0.3927 	 0.8674 	 0.4612 	 0.8436 	 0.4612 	 0.8436
