[2020/01/23 01:53:35] - Namespace(attack='pgd', attack_iters=10, batch_size=128, cutout=False, cutout_len=None, data_dir='../cifar-data', epochs=200, epsilon=128, eval=False, fgsm_alpha=1, fgsm_init='random', fname='experiments/cifar10_standard_l2/preactresnet18', half=False, l1=0, l2=0, lr_max=0.1, lr_schedule='piecewise', mixup=False, mixup_alpha=None, model='PreActResNet18', norm='l_2', pgd_alpha=15.0, restarts=1, resume=0, seed=0, width_factor=10)
[2020/01/23 01:53:43] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2020/01/23 02:00:04] - 0 	 320.9 	 	 60.3 	 	 0.1000 	 1.7400 	 0.3562 	 1.9462 	 	 0.2679 	 	 1.5258 	 0.4402 	 1.7199 	 	 0.3540
[2020/01/23 02:06:04] - 1 	 294.1 	 	 64.9 	 	 0.1000 	 1.4034 	 0.4957 	 1.6784 	 	 0.3668 	 	 1.2740 	 0.5423 	 1.5324 	 	 0.4132
[2020/01/23 02:12:43] - 2 	 332.3 	 	 66.0 	 	 0.1000 	 1.1999 	 0.5808 	 1.5301 	 	 0.4223 	 	 1.1525 	 0.5993 	 1.4546 	 	 0.4526
[2020/01/23 02:19:26] - 3 	 335.9 	 	 66.0 	 	 0.1000 	 1.0562 	 0.6422 	 1.4214 	 	 0.4619 	 	 1.0093 	 0.6455 	 1.3429 	 	 0.4892
[2020/01/23 02:26:02] - 4 	 328.7 	 	 65.7 	 	 0.1000 	 0.9434 	 0.6898 	 1.3326 	 	 0.4986 	 	 0.9277 	 0.6939 	 1.2530 	 	 0.5355
[2020/01/23 02:32:38] - 5 	 331.9 	 	 63.0 	 	 0.1000 	 0.8732 	 0.7204 	 1.2776 	 	 0.5174 	 	 0.8974 	 0.6936 	 1.2464 	 	 0.5262
[2020/01/23 02:39:14] - 6 	 333.9 	 	 61.8 	 	 0.1000 	 0.8153 	 0.7445 	 1.2328 	 	 0.5354 	 	 0.7987 	 0.7307 	 1.1734 	 	 0.5645
[2020/01/23 02:45:53] - 7 	 337.1 	 	 61.0 	 	 0.1000 	 0.7700 	 0.7593 	 1.1965 	 	 0.5476 	 	 0.7748 	 0.7464 	 1.1300 	 	 0.5774
[2020/01/23 02:52:34] - 8 	 339.6 	 	 60.0 	 	 0.1000 	 0.7339 	 0.7746 	 1.1689 	 	 0.5576 	 	 0.7503 	 0.7457 	 1.1142 	 	 0.5839
[2020/01/23 02:59:15] - 9 	 338.8 	 	 61.2 	 	 0.1000 	 0.7061 	 0.7884 	 1.1459 	 	 0.5679 	 	 0.7363 	 0.7470 	 1.1260 	 	 0.5820
[2020/01/23 03:05:48] - 10 	 332.1 	 	 60.2 	 	 0.1000 	 0.6761 	 0.7977 	 1.1231 	 	 0.5749 	 	 0.7472 	 0.7499 	 1.1304 	 	 0.5789
[2020/01/23 03:12:29] - 11 	 336.8 	 	 63.2 	 	 0.1000 	 0.6568 	 0.8047 	 1.1052 	 	 0.5827 	 	 0.7231 	 0.7675 	 1.0785 	 	 0.6047
[2020/01/23 03:19:10] - 12 	 335.1 	 	 64.9 	 	 0.1000 	 0.6404 	 0.8099 	 1.0956 	 	 0.5848 	 	 0.6731 	 0.7789 	 1.0480 	 	 0.6132
[2020/01/23 03:25:45] - 13 	 328.3 	 	 65.8 	 	 0.1000 	 0.6208 	 0.8187 	 1.0770 	 	 0.5932 	 	 0.6873 	 0.7708 	 1.1028 	 	 0.5917
[2020/01/23 03:32:28] - 14 	 336.2 	 	 65.8 	 	 0.1000 	 0.6062 	 0.8230 	 1.0634 	 	 0.5970 	 	 0.6689 	 0.7891 	 1.0511 	 	 0.6111
