[2019/12/19 20:59:02] - Namespace(attack='pgd', attack_iters=10, batch_size=128, data_dir='../cifar-data', epochs=200, epsilon=8, fgsm_alpha=1, fgsm_init='random', fname='experiments/cifar10/wideresnet_1', half=False, lr_max=0.1, lr_schedule='piecewise', norm='l_inf', pgd_alpha=2, restarts=1, seed=0, width_factor=1)
[2019/12/19 20:59:06] - Epoch 	 Train Time 	 Test Time 	 LR 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2019/12/19 21:01:31] - 0 	 122.8 	 21.7 	 0.1000 	 2.0506 	 0.2404 	 2.1838 	 0.1769 	 1.8300 	 0.3414 	 2.0180 	 0.2424
[2019/12/19 21:03:59] - 1 	 126.6 	 21.7 	 0.1000 	 1.7839 	 0.3539 	 2.0162 	 0.2460 	 1.6860 	 0.4032 	 1.9140 	 0.2805
[2019/12/19 21:06:28] - 2 	 127.7 	 21.2 	 0.1000 	 1.6757 	 0.4024 	 1.9471 	 0.2680 	 1.5884 	 0.4372 	 1.8656 	 0.2993
[2019/12/19 21:08:57] - 3 	 127.3 	 21.7 	 0.1000 	 1.6007 	 0.4345 	 1.9025 	 0.2832 	 1.5519 	 0.4623 	 1.8395 	 0.3082
[2019/12/19 21:11:26] - 4 	 126.5 	 22.2 	 0.1000 	 1.5285 	 0.4677 	 1.8621 	 0.2982 	 1.4725 	 0.4843 	 1.8014 	 0.3258
[2019/12/19 21:13:55] - 5 	 127.3 	 21.6 	 0.1000 	 1.4744 	 0.4993 	 1.8329 	 0.3110 	 1.4004 	 0.5229 	 1.7392 	 0.3469
[2019/12/19 21:16:15] - 6 	 119.7 	 20.3 	 0.1000 	 1.4251 	 0.5185 	 1.8026 	 0.3211 	 1.3939 	 0.5432 	 1.7427 	 0.3576
[2019/12/19 21:18:36] - 7 	 119.8 	 20.9 	 0.1000 	 1.3838 	 0.5372 	 1.7788 	 0.3281 	 1.3250 	 0.5503 	 1.6859 	 0.3670
[2019/12/19 21:20:51] - 8 	 115.9 	 19.8 	 0.1000 	 1.3529 	 0.5525 	 1.7595 	 0.3355 	 1.3006 	 0.5471 	 1.6929 	 0.3553
[2019/12/19 21:23:05] - 9 	 114.1 	 19.6 	 0.1000 	 1.3258 	 0.5617 	 1.7425 	 0.3439 	 1.2503 	 0.5634 	 1.6850 	 0.3617
[2019/12/19 21:25:20] - 10 	 114.5 	 19.9 	 0.1000 	 1.3092 	 0.5744 	 1.7338 	 0.3441 	 1.2482 	 0.5830 	 1.6572 	 0.3793
[2019/12/19 21:27:33] - 11 	 113.7 	 19.5 	 0.1000 	 1.2883 	 0.5812 	 1.7198 	 0.3495 	 1.2764 	 0.5905 	 1.6532 	 0.3935
[2019/12/19 21:29:47] - 12 	 114.8 	 19.5 	 0.1000 	 1.2656 	 0.5897 	 1.7042 	 0.3554 	 1.2133 	 0.6029 	 1.6569 	 0.3726
[2019/12/19 21:32:00] - 13 	 113.6 	 19.6 	 0.1000 	 1.2535 	 0.5963 	 1.6961 	 0.3597 	 1.1947 	 0.6041 	 1.6325 	 0.3756
[2019/12/19 21:34:14] - 14 	 113.5 	 19.7 	 0.1000 	 1.2416 	 0.6014 	 1.6920 	 0.3592 	 1.2395 	 0.5622 	 1.6780 	 0.3661
[2019/12/19 21:36:27] - 15 	 113.2 	 19.6 	 0.1000 	 1.2212 	 0.6093 	 1.6757 	 0.3652 	 1.2028 	 0.5914 	 1.6669 	 0.3699
[2019/12/19 21:38:41] - 16 	 114.3 	 19.7 	 0.1000 	 1.2172 	 0.6114 	 1.6748 	 0.3676 	 1.2050 	 0.6070 	 1.6045 	 0.3983
[2019/12/19 21:40:54] - 17 	 113.7 	 19.9 	 0.1000 	 1.2038 	 0.6195 	 1.6651 	 0.3695 	 1.2027 	 0.6187 	 1.6229 	 0.3910
[2019/12/19 21:43:08] - 18 	 114.0 	 19.6 	 0.1000 	 1.1949 	 0.6227 	 1.6600 	 0.3712 	 1.2010 	 0.5944 	 1.6175 	 0.3973
[2019/12/19 21:45:22] - 19 	 114.4 	 19.8 	 0.1000 	 1.1911 	 0.6239 	 1.6585 	 0.3735 	 1.1613 	 0.6359 	 1.5819 	 0.4104
[2019/12/19 21:47:36] - 20 	 114.0 	 19.9 	 0.1000 	 1.1811 	 0.6281 	 1.6517 	 0.3762 	 1.1624 	 0.6503 	 1.5864 	 0.4123
[2019/12/19 21:49:50] - 21 	 114.3 	 20.1 	 0.1000 	 1.1744 	 0.6327 	 1.6466 	 0.3786 	 1.1365 	 0.6380 	 1.5929 	 0.3952
[2019/12/19 21:52:04] - 22 	 114.1 	 19.5 	 0.1000 	 1.1740 	 0.6329 	 1.6482 	 0.3774 	 1.1557 	 0.6237 	 1.6171 	 0.4004
[2019/12/19 21:54:18] - 23 	 114.2 	 19.4 	 0.1000 	 1.1661 	 0.6361 	 1.6432 	 0.3793 	 1.1208 	 0.6476 	 1.5772 	 0.4048
[2019/12/19 21:56:32] - 24 	 114.3 	 19.7 	 0.1000 	 1.1638 	 0.6381 	 1.6417 	 0.3800 	 1.0955 	 0.6432 	 1.5842 	 0.3947
[2019/12/19 21:58:46] - 25 	 114.8 	 19.9 	 0.1000 	 1.1585 	 0.6396 	 1.6372 	 0.3832 	 1.1093 	 0.6240 	 1.5773 	 0.4141
[2019/12/19 22:01:00] - 26 	 113.7 	 20.1 	 0.1000 	 1.1496 	 0.6420 	 1.6320 	 0.3805 	 1.1205 	 0.6157 	 1.5689 	 0.4124
[2019/12/19 22:03:14] - 27 	 113.8 	 19.7 	 0.1000 	 1.1480 	 0.6456 	 1.6297 	 0.3832 	 1.1141 	 0.6265 	 1.6010 	 0.4008
[2019/12/19 22:05:27] - 28 	 113.3 	 19.7 	 0.1000 	 1.1455 	 0.6462 	 1.6310 	 0.3833 	 1.1351 	 0.6377 	 1.5834 	 0.3975
[2019/12/19 22:07:41] - 29 	 114.4 	 20.0 	 0.1000 	 1.1394 	 0.6481 	 1.6241 	 0.3851 	 1.0927 	 0.6547 	 1.5908 	 0.3976
[2019/12/19 22:09:55] - 30 	 113.5 	 19.6 	 0.1000 	 1.1348 	 0.6490 	 1.6208 	 0.3888 	 1.1091 	 0.6552 	 1.5643 	 0.4130
[2019/12/19 22:12:09] - 31 	 114.6 	 19.7 	 0.1000 	 1.1288 	 0.6550 	 1.6197 	 0.3884 	 1.1011 	 0.6444 	 1.5934 	 0.3983
[2019/12/19 22:14:23] - 32 	 114.8 	 19.5 	 0.1000 	 1.1359 	 0.6502 	 1.6244 	 0.3875 	 1.1235 	 0.6430 	 1.5801 	 0.4088
[2019/12/19 22:16:37] - 33 	 114.5 	 19.6 	 0.1000 	 1.1250 	 0.6540 	 1.6156 	 0.3880 	 1.0745 	 0.6594 	 1.5693 	 0.4053
[2019/12/19 22:18:51] - 34 	 113.5 	 19.8 	 0.1000 	 1.1238 	 0.6546 	 1.6160 	 0.3903 	 1.0946 	 0.6435 	 1.5675 	 0.4120
[2019/12/19 22:21:05] - 35 	 114.5 	 19.6 	 0.1000 	 1.1206 	 0.6555 	 1.6128 	 0.3898 	 1.1013 	 0.6472 	 1.5844 	 0.4036
[2019/12/19 22:23:19] - 36 	 114.1 	 20.0 	 0.1000 	 1.1162 	 0.6572 	 1.6104 	 0.3923 	 1.0890 	 0.6689 	 1.5499 	 0.4180
[2019/12/19 22:25:33] - 37 	 114.2 	 19.7 	 0.1000 	 1.1175 	 0.6564 	 1.6104 	 0.3910 	 1.0889 	 0.6453 	 1.5898 	 0.3950
[2019/12/19 22:27:47] - 38 	 114.0 	 19.8 	 0.1000 	 1.1115 	 0.6584 	 1.6071 	 0.3919 	 1.1068 	 0.6468 	 1.5609 	 0.4122
[2019/12/19 22:30:00] - 39 	 113.9 	 19.5 	 0.1000 	 1.1134 	 0.6600 	 1.6105 	 0.3924 	 1.1064 	 0.6506 	 1.5910 	 0.3964
[2019/12/19 22:32:14] - 40 	 114.1 	 19.5 	 0.1000 	 1.1077 	 0.6597 	 1.6055 	 0.3947 	 1.0484 	 0.6754 	 1.5860 	 0.3986
[2019/12/19 22:34:27] - 41 	 113.4 	 19.5 	 0.1000 	 1.1032 	 0.6650 	 1.6007 	 0.3944 	 1.0941 	 0.6508 	 1.5713 	 0.4134
[2019/12/19 22:36:40] - 42 	 113.2 	 19.7 	 0.1000 	 1.1036 	 0.6636 	 1.6041 	 0.3944 	 1.0749 	 0.6513 	 1.5539 	 0.4156
[2019/12/19 22:38:54] - 43 	 114.2 	 19.7 	 0.1000 	 1.1000 	 0.6659 	 1.5998 	 0.3967 	 1.0946 	 0.6458 	 1.5800 	 0.4083
[2019/12/19 22:41:07] - 44 	 114.1 	 19.4 	 0.1000 	 1.0978 	 0.6654 	 1.5966 	 0.3961 	 1.0914 	 0.6684 	 1.5573 	 0.4179
[2019/12/19 22:43:21] - 45 	 114.2 	 19.7 	 0.1000 	 1.1013 	 0.6642 	 1.6010 	 0.3961 	 1.0873 	 0.6390 	 1.5698 	 0.4077
[2019/12/19 22:45:34] - 46 	 113.3 	 19.8 	 0.1000 	 1.1016 	 0.6640 	 1.6008 	 0.3947 	 1.0840 	 0.6535 	 1.5739 	 0.4041
[2019/12/19 22:47:48] - 47 	 114.0 	 19.7 	 0.1000 	 1.0953 	 0.6684 	 1.5960 	 0.3968 	 1.0801 	 0.6500 	 1.5556 	 0.4089
[2019/12/19 22:50:02] - 48 	 114.5 	 19.7 	 0.1000 	 1.0922 	 0.6686 	 1.5958 	 0.3972 	 1.0849 	 0.6494 	 1.5524 	 0.4158
[2019/12/19 22:52:16] - 49 	 113.8 	 20.1 	 0.1000 	 1.0936 	 0.6670 	 1.5949 	 0.3987 	 1.1010 	 0.6252 	 1.5920 	 0.4094
[2019/12/19 22:54:31] - 50 	 114.9 	 20.4 	 0.1000 	 1.0918 	 0.6688 	 1.5938 	 0.3988 	 1.0787 	 0.6499 	 1.5757 	 0.4018
[2019/12/19 22:56:47] - 51 	 115.3 	 20.1 	 0.1000 	 1.0917 	 0.6705 	 1.5951 	 0.3967 	 1.0504 	 0.6819 	 1.5517 	 0.4157
[2019/12/19 22:59:05] - 52 	 117.4 	 20.2 	 0.1000 	 1.0884 	 0.6718 	 1.5943 	 0.3976 	 1.0513 	 0.6870 	 1.5559 	 0.4107
[2019/12/19 23:01:23] - 53 	 118.2 	 20.4 	 0.1000 	 1.0921 	 0.6685 	 1.5934 	 0.3962 	 1.0803 	 0.6642 	 1.5484 	 0.4182
[2019/12/19 23:03:39] - 54 	 115.9 	 19.9 	 0.1000 	 1.0853 	 0.6717 	 1.5896 	 0.3991 	 1.1323 	 0.6300 	 1.5799 	 0.4056
[2019/12/19 23:05:53] - 55 	 114.3 	 19.8 	 0.1000 	 1.0874 	 0.6737 	 1.5917 	 0.4004 	 1.0737 	 0.6701 	 1.5524 	 0.4141
[2019/12/19 23:08:07] - 56 	 114.2 	 19.9 	 0.1000 	 1.0836 	 0.6737 	 1.5889 	 0.3984 	 1.0830 	 0.6686 	 1.5597 	 0.4102
[2019/12/19 23:10:21] - 57 	 113.6 	 19.9 	 0.1000 	 1.0860 	 0.6729 	 1.5916 	 0.3972 	 1.0473 	 0.6791 	 1.5339 	 0.4190
[2019/12/19 23:12:34] - 58 	 113.6 	 19.5 	 0.1000 	 1.0837 	 0.6720 	 1.5884 	 0.3962 	 1.0646 	 0.6738 	 1.5438 	 0.4197
[2019/12/19 23:14:48] - 59 	 114.2 	 19.6 	 0.1000 	 1.0843 	 0.6738 	 1.5895 	 0.3985 	 1.0605 	 0.6577 	 1.5489 	 0.4215
[2019/12/19 23:17:01] - 60 	 113.5 	 19.7 	 0.1000 	 1.0771 	 0.6756 	 1.5842 	 0.3996 	 1.0970 	 0.6624 	 1.5656 	 0.4015
[2019/12/19 23:19:15] - 61 	 114.0 	 19.6 	 0.1000 	 1.0856 	 0.6705 	 1.5927 	 0.3977 	 1.0962 	 0.6582 	 1.5785 	 0.4071
[2019/12/19 23:21:28] - 62 	 114.0 	 19.4 	 0.1000 	 1.0867 	 0.6700 	 1.5904 	 0.3987 	 1.0714 	 0.6687 	 1.5515 	 0.4100
[2019/12/19 23:23:42] - 63 	 113.9 	 19.7 	 0.1000 	 1.0791 	 0.6767 	 1.5862 	 0.4000 	 1.0642 	 0.6537 	 1.5669 	 0.4109
[2019/12/19 23:25:55] - 64 	 114.1 	 19.5 	 0.1000 	 1.0745 	 0.6777 	 1.5831 	 0.4002 	 1.0945 	 0.6462 	 1.5594 	 0.4068
[2019/12/19 23:28:09] - 65 	 113.5 	 19.8 	 0.1000 	 1.0806 	 0.6747 	 1.5863 	 0.4002 	 1.0596 	 0.6843 	 1.5312 	 0.4317
[2019/12/19 23:30:22] - 66 	 114.1 	 19.6 	 0.1000 	 1.0791 	 0.6738 	 1.5863 	 0.3998 	 1.0492 	 0.6546 	 1.5606 	 0.4137
[2019/12/19 23:32:36] - 67 	 114.0 	 19.5 	 0.1000 	 1.0732 	 0.6761 	 1.5845 	 0.3995 	 1.0726 	 0.6832 	 1.5805 	 0.4099
[2019/12/19 23:34:50] - 68 	 114.1 	 19.7 	 0.1000 	 1.0758 	 0.6777 	 1.5834 	 0.4010 	 1.0652 	 0.6594 	 1.5690 	 0.4073
[2019/12/19 23:37:03] - 69 	 113.4 	 19.7 	 0.1000 	 1.0765 	 0.6766 	 1.5854 	 0.3982 	 1.0727 	 0.6810 	 1.5510 	 0.4166
[2019/12/19 23:39:16] - 70 	 113.7 	 19.7 	 0.1000 	 1.0793 	 0.6742 	 1.5879 	 0.4005 	 1.1233 	 0.6436 	 1.5561 	 0.4224
[2019/12/19 23:41:30] - 71 	 113.9 	 19.7 	 0.1000 	 1.0705 	 0.6820 	 1.5820 	 0.4020 	 1.0950 	 0.6605 	 1.5671 	 0.4070
[2019/12/19 23:43:43] - 72 	 113.8 	 19.4 	 0.1000 	 1.0790 	 0.6760 	 1.5860 	 0.3993 	 1.0342 	 0.6849 	 1.5464 	 0.4212
[2019/12/19 23:45:57] - 73 	 114.3 	 19.6 	 0.1000 	 1.0730 	 0.6779 	 1.5834 	 0.4021 	 1.0549 	 0.6803 	 1.5449 	 0.4169
