[2019/12/21 13:54:47] - Namespace(attack='pgd', attack_iters=10, batch_size=128, data_dir='../cifar-data', epochs=200, epsilon=8, fgsm_alpha=1, fgsm_init='random', fname='experiments/cifar10/wideresnet_2', half=False, lr_max=0.1, lr_schedule='piecewise', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, width_factor=2)
[2019/12/21 13:54:52] - Epoch 	 Train Time 	 Test Time 	 LR 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2019/12/21 13:57:48] - 0 	 148.1 	 28.5 	 0.1000 	 1.9731 	 0.2745 	 2.1413 	 0.1997 	 1.7790 	 0.3586 	 1.9751 	 0.2543
[2019/12/21 14:00:51] - 1 	 153.5 	 28.6 	 0.1000 	 1.7151 	 0.3900 	 1.9786 	 0.2610 	 1.6184 	 0.4545 	 1.8791 	 0.3139
[2019/12/21 14:03:54] - 2 	 154.3 	 28.7 	 0.1000 	 1.5953 	 0.4432 	 1.9051 	 0.2866 	 1.4938 	 0.4599 	 1.8436 	 0.2948
[2019/12/21 14:06:57] - 3 	 154.8 	 28.8 	 0.1000 	 1.5039 	 0.4815 	 1.8504 	 0.3024 	 1.4483 	 0.5076 	 1.7867 	 0.3306
[2019/12/21 14:10:01] - 4 	 154.8 	 28.6 	 0.1000 	 1.4283 	 0.5155 	 1.8055 	 0.3202 	 1.3332 	 0.5584 	 1.7025 	 0.3611
[2019/12/21 14:13:04] - 5 	 154.5 	 28.7 	 0.1000 	 1.3631 	 0.5472 	 1.7656 	 0.3352 	 1.3209 	 0.5639 	 1.6982 	 0.3587
[2019/12/21 14:16:08] - 6 	 154.7 	 28.9 	 0.1000 	 1.3122 	 0.5685 	 1.7322 	 0.3462 	 1.2532 	 0.5642 	 1.6753 	 0.3704
[2019/12/21 14:19:12] - 7 	 154.8 	 28.7 	 0.1000 	 1.2718 	 0.5874 	 1.7075 	 0.3543 	 1.2311 	 0.5850 	 1.6384 	 0.3847
[2019/12/21 14:22:15] - 8 	 154.9 	 28.8 	 0.1000 	 1.2405 	 0.6019 	 1.6870 	 0.3640 	 1.1976 	 0.5795 	 1.6343 	 0.3848
[2019/12/21 14:25:19] - 9 	 154.8 	 28.9 	 0.1000 	 1.2035 	 0.6200 	 1.6647 	 0.3688 	 1.1602 	 0.6180 	 1.6009 	 0.3964
[2019/12/21 14:28:23] - 10 	 154.8 	 28.7 	 0.1000 	 1.1818 	 0.6287 	 1.6495 	 0.3779 	 1.1303 	 0.6330 	 1.5931 	 0.3989
[2019/12/21 14:31:26] - 11 	 154.5 	 28.8 	 0.1000 	 1.1616 	 0.6364 	 1.6366 	 0.3828 	 1.1113 	 0.6368 	 1.5869 	 0.4058
[2019/12/21 14:34:29] - 12 	 154.4 	 28.8 	 0.1000 	 1.1443 	 0.6444 	 1.6248 	 0.3866 	 1.1172 	 0.6457 	 1.5568 	 0.4135
[2019/12/21 14:37:33] - 13 	 154.6 	 28.7 	 0.1000 	 1.1259 	 0.6526 	 1.6133 	 0.3895 	 1.0662 	 0.6555 	 1.5667 	 0.4087
[2019/12/21 14:40:36] - 14 	 154.7 	 28.8 	 0.1000 	 1.1090 	 0.6614 	 1.6041 	 0.3935 	 1.1271 	 0.6607 	 1.5636 	 0.4232
[2019/12/21 14:43:40] - 15 	 154.6 	 28.8 	 0.1000 	 1.0931 	 0.6660 	 1.5898 	 0.3977 	 1.0842 	 0.6445 	 1.5810 	 0.4086
[2019/12/21 14:46:43] - 16 	 154.8 	 28.6 	 0.1000 	 1.0788 	 0.6727 	 1.5817 	 0.4015 	 1.0767 	 0.6639 	 1.5377 	 0.4334
[2019/12/21 14:49:47] - 17 	 154.6 	 28.8 	 0.1000 	 1.0707 	 0.6776 	 1.5762 	 0.4017 	 1.0543 	 0.6729 	 1.5187 	 0.4347
[2019/12/21 14:52:51] - 18 	 155.1 	 28.9 	 0.1000 	 1.0568 	 0.6810 	 1.5653 	 0.4060 	 1.0660 	 0.6533 	 1.5563 	 0.4141
[2019/12/21 14:55:55] - 19 	 154.6 	 28.9 	 0.1000 	 1.0486 	 0.6859 	 1.5592 	 0.4104 	 1.0521 	 0.6650 	 1.5253 	 0.4272
[2019/12/21 14:58:58] - 20 	 154.3 	 28.8 	 0.1000 	 1.0434 	 0.6890 	 1.5559 	 0.4124 	 1.0720 	 0.6448 	 1.5359 	 0.4275
[2019/12/21 15:02:01] - 21 	 154.7 	 28.7 	 0.1000 	 1.0347 	 0.6897 	 1.5486 	 0.4151 	 1.0075 	 0.6819 	 1.5233 	 0.4322
[2019/12/21 15:05:05] - 22 	 154.6 	 28.7 	 0.1000 	 1.0319 	 0.6957 	 1.5492 	 0.4126 	 1.0208 	 0.6617 	 1.5043 	 0.4433
[2019/12/21 15:08:09] - 23 	 155.0 	 28.8 	 0.1000 	 1.0236 	 0.6987 	 1.5410 	 0.4146 	 0.9988 	 0.6782 	 1.5030 	 0.4352
[2019/12/21 15:11:12] - 24 	 154.7 	 28.8 	 0.1000 	 1.0179 	 0.6998 	 1.5391 	 0.4171 	 1.0367 	 0.6693 	 1.5299 	 0.4307
[2019/12/21 15:14:16] - 25 	 154.9 	 28.8 	 0.1000 	 1.0120 	 0.7019 	 1.5343 	 0.4193 	 0.9936 	 0.6866 	 1.5163 	 0.4238
[2019/12/21 15:17:20] - 26 	 154.9 	 28.5 	 0.1000 	 1.0052 	 0.7048 	 1.5287 	 0.4192 	 0.9786 	 0.6937 	 1.5376 	 0.4200
[2019/12/21 15:20:22] - 27 	 153.6 	 28.6 	 0.1000 	 1.0042 	 0.7039 	 1.5261 	 0.4209 	 1.0058 	 0.6973 	 1.4905 	 0.4411
[2019/12/21 15:23:23] - 28 	 153.1 	 28.4 	 0.1000 	 0.9982 	 0.7071 	 1.5252 	 0.4227 	 1.0116 	 0.6751 	 1.5196 	 0.4284
[2019/12/21 15:26:25] - 29 	 152.9 	 28.5 	 0.1000 	 0.9976 	 0.7079 	 1.5218 	 0.4232 	 1.0220 	 0.6774 	 1.4950 	 0.4418
[2019/12/21 15:29:26] - 30 	 152.7 	 28.5 	 0.1000 	 0.9932 	 0.7094 	 1.5199 	 0.4250 	 0.9689 	 0.7227 	 1.4876 	 0.4415
[2019/12/21 15:32:28] - 31 	 153.0 	 28.4 	 0.1000 	 0.9822 	 0.7135 	 1.5118 	 0.4271 	 0.9651 	 0.6964 	 1.5021 	 0.4258
[2019/12/21 15:35:29] - 32 	 152.9 	 28.4 	 0.1000 	 0.9877 	 0.7124 	 1.5159 	 0.4270 	 0.9560 	 0.7057 	 1.5023 	 0.4417
[2019/12/21 15:38:30] - 33 	 152.3 	 28.3 	 0.1000 	 0.9817 	 0.7130 	 1.5132 	 0.4277 	 0.9803 	 0.6925 	 1.4962 	 0.4376
[2019/12/21 15:41:31] - 34 	 152.6 	 28.4 	 0.1000 	 0.9779 	 0.7145 	 1.5099 	 0.4287 	 1.0028 	 0.7027 	 1.4719 	 0.4494
[2019/12/21 15:44:32] - 35 	 152.5 	 28.4 	 0.1000 	 0.9811 	 0.7147 	 1.5096 	 0.4275 	 0.9705 	 0.7069 	 1.4907 	 0.4450
[2019/12/21 15:47:33] - 36 	 152.4 	 28.4 	 0.1000 	 0.9723 	 0.7170 	 1.5054 	 0.4301 	 0.9955 	 0.7038 	 1.5182 	 0.4358
[2019/12/21 15:50:34] - 37 	 152.7 	 28.4 	 0.1000 	 0.9655 	 0.7210 	 1.5001 	 0.4331 	 0.9195 	 0.7217 	 1.4723 	 0.4521
[2019/12/21 15:53:35] - 38 	 152.9 	 28.4 	 0.1000 	 0.9610 	 0.7189 	 1.4959 	 0.4333 	 0.9302 	 0.7146 	 1.4313 	 0.4620
[2019/12/21 15:56:36] - 39 	 152.7 	 28.4 	 0.1000 	 0.9654 	 0.7230 	 1.5026 	 0.4301 	 1.0102 	 0.7064 	 1.4816 	 0.4534
[2019/12/21 15:59:38] - 40 	 152.7 	 28.6 	 0.1000 	 0.9623 	 0.7218 	 1.4991 	 0.4333 	 0.9462 	 0.6995 	 1.4766 	 0.4407
[2019/12/21 16:02:39] - 41 	 153.0 	 28.4 	 0.1000 	 0.9553 	 0.7267 	 1.4962 	 0.4328 	 0.9764 	 0.7031 	 1.4992 	 0.4342
[2019/12/21 16:05:40] - 42 	 152.8 	 28.4 	 0.1000 	 0.9530 	 0.7274 	 1.4941 	 0.4342 	 0.9410 	 0.7128 	 1.5251 	 0.4213
[2019/12/21 16:08:41] - 43 	 152.5 	 28.5 	 0.1000 	 0.9539 	 0.7254 	 1.4926 	 0.4349 	 1.0090 	 0.6740 	 1.5193 	 0.4323
[2019/12/21 16:11:42] - 44 	 152.4 	 28.4 	 0.1000 	 0.9537 	 0.7269 	 1.4930 	 0.4345 	 0.9414 	 0.7171 	 1.4732 	 0.4474
[2019/12/21 16:14:43] - 45 	 152.7 	 28.4 	 0.1000 	 0.9482 	 0.7282 	 1.4882 	 0.4345 	 0.9402 	 0.7159 	 1.4693 	 0.4436
[2019/12/21 16:17:45] - 46 	 152.8 	 28.4 	 0.1000 	 0.9520 	 0.7279 	 1.4910 	 0.4331 	 0.9749 	 0.7192 	 1.4835 	 0.4562
[2019/12/21 16:20:46] - 47 	 152.7 	 28.5 	 0.1000 	 0.9507 	 0.7287 	 1.4901 	 0.4356 	 0.9162 	 0.7145 	 1.4733 	 0.4481
[2019/12/21 16:23:47] - 48 	 152.8 	 28.5 	 0.1000 	 0.9491 	 0.7280 	 1.4917 	 0.4346 	 0.9324 	 0.6985 	 1.4709 	 0.4507
[2019/12/21 16:26:48] - 49 	 152.7 	 28.4 	 0.1000 	 0.9405 	 0.7315 	 1.4827 	 0.4399 	 0.9052 	 0.7129 	 1.4869 	 0.4369
[2019/12/21 16:29:49] - 50 	 152.3 	 28.4 	 0.1000 	 0.9403 	 0.7309 	 1.4825 	 0.4380 	 0.9245 	 0.7208 	 1.4853 	 0.4376
[2019/12/21 16:32:50] - 51 	 152.6 	 28.4 	 0.1000 	 0.9391 	 0.7326 	 1.4803 	 0.4379 	 0.9026 	 0.7290 	 1.4471 	 0.4610
[2019/12/21 16:35:52] - 52 	 152.8 	 28.4 	 0.1000 	 0.9412 	 0.7338 	 1.4833 	 0.4379 	 0.8818 	 0.7203 	 1.4651 	 0.4474
[2019/12/21 16:38:53] - 53 	 152.8 	 28.4 	 0.1000 	 0.9420 	 0.7314 	 1.4864 	 0.4355 	 0.9236 	 0.7019 	 1.5114 	 0.4331
[2019/12/21 16:41:54] - 54 	 152.6 	 28.4 	 0.1000 	 0.9369 	 0.7339 	 1.4803 	 0.4383 	 0.8976 	 0.7009 	 1.4691 	 0.4542
[2019/12/21 16:44:55] - 55 	 152.6 	 28.3 	 0.1000 	 0.9357 	 0.7313 	 1.4834 	 0.4390 	 0.9568 	 0.7229 	 1.4725 	 0.4535
[2019/12/21 16:47:56] - 56 	 152.6 	 28.4 	 0.1000 	 0.9344 	 0.7349 	 1.4787 	 0.4400 	 0.9373 	 0.7247 	 1.4466 	 0.4599
[2019/12/21 16:50:57] - 57 	 152.6 	 28.3 	 0.1000 	 0.9305 	 0.7347 	 1.4766 	 0.4390 	 0.9205 	 0.7131 	 1.4566 	 0.4517
[2019/12/21 16:53:58] - 58 	 152.7 	 28.4 	 0.1000 	 0.9359 	 0.7323 	 1.4825 	 0.4382 	 0.9529 	 0.6968 	 1.4759 	 0.4445
[2019/12/21 16:56:59] - 59 	 152.7 	 28.4 	 0.1000 	 0.9286 	 0.7377 	 1.4754 	 0.4408 	 0.9482 	 0.6917 	 1.4659 	 0.4532
[2019/12/21 17:00:01] - 60 	 153.0 	 28.4 	 0.1000 	 0.9289 	 0.7346 	 1.4766 	 0.4404 	 0.9234 	 0.7150 	 1.4713 	 0.4413
[2019/12/21 17:03:02] - 61 	 152.9 	 28.4 	 0.1000 	 0.9249 	 0.7392 	 1.4745 	 0.4438 	 0.9271 	 0.6983 	 1.4706 	 0.4399
[2019/12/21 17:06:04] - 62 	 152.8 	 28.3 	 0.1000 	 0.9239 	 0.7395 	 1.4716 	 0.4403 	 0.9276 	 0.7174 	 1.4333 	 0.4658
[2019/12/21 17:09:05] - 63 	 153.1 	 28.5 	 0.1000 	 0.9247 	 0.7356 	 1.4723 	 0.4409 	 0.9277 	 0.7110 	 1.4753 	 0.4467
[2019/12/21 17:12:07] - 64 	 152.8 	 28.5 	 0.1000 	 0.9217 	 0.7397 	 1.4700 	 0.4409 	 0.9568 	 0.7244 	 1.4531 	 0.4593
[2019/12/21 17:15:08] - 65 	 152.8 	 28.6 	 0.1000 	 0.9194 	 0.7384 	 1.4680 	 0.4402 	 0.9844 	 0.7064 	 1.4516 	 0.4693
[2019/12/21 17:18:10] - 66 	 152.9 	 28.4 	 0.1000 	 0.9227 	 0.7399 	 1.4721 	 0.4423 	 0.9456 	 0.7130 	 1.4669 	 0.4530
[2019/12/21 17:21:11] - 67 	 153.0 	 28.3 	 0.1000 	 0.9221 	 0.7381 	 1.4713 	 0.4446 	 0.9273 	 0.7256 	 1.4661 	 0.4468
[2019/12/21 17:24:13] - 68 	 153.2 	 28.4 	 0.1000 	 0.9198 	 0.7400 	 1.4686 	 0.4433 	 0.9222 	 0.7073 	 1.4789 	 0.4442
[2019/12/21 17:27:14] - 69 	 152.8 	 28.4 	 0.1000 	 0.9155 	 0.7404 	 1.4644 	 0.4440 	 0.9356 	 0.7187 	 1.4523 	 0.4516
[2019/12/21 17:30:15] - 70 	 152.8 	 28.4 	 0.1000 	 0.9163 	 0.7400 	 1.4686 	 0.4409 	 0.9698 	 0.6967 	 1.4658 	 0.4530
[2019/12/21 17:33:17] - 71 	 153.0 	 28.3 	 0.1000 	 0.9196 	 0.7416 	 1.4692 	 0.4432 	 0.9400 	 0.7045 	 1.4605 	 0.4549
[2019/12/21 17:36:18] - 72 	 153.0 	 28.5 	 0.1000 	 0.9172 	 0.7429 	 1.4670 	 0.4434 	 0.9182 	 0.7254 	 1.4665 	 0.4471
