[2019/12/19 21:00:14] - Namespace(attack='pgd', attack_iters=10, batch_size=128, data_dir='../cifar-data', epochs=200, epsilon=8, fgsm_alpha=1, fgsm_init='random', fname='experiments/cifar10/wideresnet_8', half=False, lr_max=0.1, lr_schedule='piecewise', norm='l_inf', pgd_alpha=2, restarts=1, seed=0, width_factor=8)
[2019/12/19 21:00:48] - Namespace(attack='pgd', attack_iters=10, batch_size=128, data_dir='../cifar-data', epochs=200, epsilon=8, fgsm_alpha=1, fgsm_init='random', fname='experiments/cifar10/wideresnet_8', half=False, lr_max=0.1, lr_schedule='piecewise', norm='l_inf', pgd_alpha=2, restarts=1, seed=0, width_factor=8)
[2019/12/19 21:00:57] - Epoch 	 Train Time 	 Test Time 	 LR 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2019/12/20 15:40:16] - Namespace(attack='pgd', attack_iters=10, batch_size=128, data_dir='../cifar-data', epochs=200, epsilon=8, fgsm_alpha=1, fgsm_init='random', fname='experiments/cifar10/wideresnet_8', half=False, lr_max=0.1, lr_schedule='piecewise', norm='l_inf', pgd_alpha=2, restarts=1, seed=0, width_factor=8)
[2019/12/20 15:40:22] - Epoch 	 Train Time 	 Test Time 	 LR 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2019/12/20 15:56:53] - 0 	 836.3 	 155.1 	 0.1000 	 1.9121 	 0.3003 	 2.1243 	 0.2080 	 1.7235 	 0.3646 	 1.9506 	 0.2754
[2019/12/20 16:13:29] - 1 	 840.2 	 154.8 	 0.1000 	 1.6900 	 0.3973 	 1.9761 	 0.2598 	 1.5712 	 0.4306 	 1.8623 	 0.3046
[2019/12/20 16:30:05] - 2 	 839.8 	 155.1 	 0.1000 	 1.5312 	 0.4692 	 1.8787 	 0.2959 	 1.4832 	 0.5117 	 1.7777 	 0.3444
[2019/12/20 16:46:42] - 3 	 840.5 	 155.5 	 0.1000 	 1.4108 	 0.5226 	 1.8037 	 0.3185 	 1.3340 	 0.5282 	 1.7238 	 0.3524
[2019/12/20 17:03:20] - 4 	 841.1 	 155.3 	 0.1000 	 1.3169 	 0.5661 	 1.7423 	 0.3427 	 1.2466 	 0.5813 	 1.6743 	 0.3666
[2019/12/20 17:19:58] - 5 	 841.3 	 155.5 	 0.1000 	 1.2425 	 0.6017 	 1.6898 	 0.3596 	 1.2032 	 0.6240 	 1.6304 	 0.3988
[2019/12/20 17:36:31] - 6 	 837.7 	 154.8 	 0.1000 	 1.1878 	 0.6276 	 1.6527 	 0.3775 	 1.1388 	 0.6125 	 1.6050 	 0.3950
[2019/12/20 17:53:07] - 7 	 839.4 	 155.1 	 0.1000 	 1.1297 	 0.6498 	 1.6126 	 0.3880 	 1.1091 	 0.6234 	 1.5797 	 0.4070
[2019/12/20 18:09:45] - 8 	 841.8 	 154.9 	 0.1000 	 1.0889 	 0.6687 	 1.5845 	 0.4003 	 1.0526 	 0.6474 	 1.5528 	 0.4163
[2019/12/20 18:26:18] - 9 	 836.9 	 155.2 	 0.1000 	 1.0462 	 0.6865 	 1.5543 	 0.4113 	 1.0655 	 0.6697 	 1.5172 	 0.4360
[2019/12/20 18:42:54] - 10 	 840.5 	 154.7 	 0.1000 	 1.0232 	 0.6956 	 1.5366 	 0.4193 	 1.0272 	 0.7105 	 1.4982 	 0.4504
[2019/12/20 18:59:30] - 11 	 839.3 	 155.0 	 0.1000 	 0.9982 	 0.7099 	 1.5206 	 0.4252 	 0.9857 	 0.6805 	 1.5065 	 0.4322
[2019/12/20 19:16:05] - 12 	 838.7 	 155.2 	 0.1000 	 0.9758 	 0.7155 	 1.5057 	 0.4299 	 0.9322 	 0.7254 	 1.4638 	 0.4536
[2019/12/20 19:32:41] - 13 	 840.3 	 155.2 	 0.1000 	 0.9562 	 0.7235 	 1.4902 	 0.4380 	 0.9530 	 0.6810 	 1.4719 	 0.4434
[2019/12/20 19:49:16] - 14 	 838.9 	 154.9 	 0.1000 	 0.9326 	 0.7365 	 1.4721 	 0.4398 	 0.9249 	 0.7003 	 1.4608 	 0.4506
