[2020/02/01 19:09:34] - Namespace(attack='pgd', attack_iters=10, batch_size=128, cutout=False, cutout_len=None, data_dir='../svhn-data', epochs=200, epsilon=8, eval=False, fgsm_alpha=1, fgsm_init='random', fname='experiments/svhn_standard/preactresnet18', half=False, l1=0, l2=0, lr_max=0.01, lr_schedule='piecewise', mixup=False, mixup_alpha=None, model='PreActResNet18', norm='l_inf', pgd_alpha=1.0, restarts=1, resume=0, seed=0, width_factor=10)
[2020/02/01 19:09:45] - Namespace(attack='pgd', attack_iters=10, batch_size=128, cutout=False, cutout_len=None, data_dir='../svhn-data', epochs=200, epsilon=8, eval=False, fgsm_alpha=1, fgsm_init='random', fname='experiments/svhn_standard/preactresnet18', half=False, l1=0, l2=0, lr_max=0.01, lr_schedule='piecewise', mixup=False, mixup_alpha=None, model='PreActResNet18', norm='l_inf', pgd_alpha=1.0, restarts=1, resume=0, seed=0, width_factor=10)
[2020/02/01 19:09:49] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2020/02/01 19:18:36] - 0 	 396.9 	 	 130.3 	 	 0.0100 	 2.2403 	 0.1877 	 2.2751 	 	 0.1812 	 	 2.2322 	 0.1850 	 2.2505 	 	 0.1788
[2020/02/01 19:27:28] - 1 	 400.7 	 	 130.3 	 	 0.0100 	 2.2305 	 0.1893 	 2.2436 	 	 0.1872 	 	 2.2081 	 0.1966 	 2.2218 	 	 0.1961
[2020/02/01 19:36:19] - 2 	 400.5 	 	 130.4 	 	 0.0100 	 2.2072 	 0.1998 	 2.2342 	 	 0.1909 	 	 2.0978 	 0.2703 	 2.1831 	 	 0.2208
[2020/02/01 19:45:12] - 3 	 401.0 	 	 130.7 	 	 0.0100 	 1.4752 	 0.5478 	 1.8810 	 	 0.3400 	 	 0.8510 	 0.7978 	 1.5602 	 	 0.4751
[2020/02/01 19:54:05] - 4 	 401.5 	 	 130.7 	 	 0.0100 	 0.7238 	 0.8346 	 1.3830 	 	 0.5305 	 	 0.6588 	 0.8606 	 1.3605 	 	 0.5536
[2020/02/01 20:03:05] - 5 	 407.1 	 	 131.6 	 	 0.0100 	 0.5957 	 0.8698 	 1.2473 	 	 0.5768 	 	 0.6337 	 0.8630 	 1.3236 	 	 0.5689
[2020/02/01 20:12:03] - 6 	 405.0 	 	 132.2 	 	 0.0100 	 0.5368 	 0.8851 	 1.1782 	 	 0.5984 	 	 0.5037 	 0.8898 	 1.3068 	 	 0.5632
[2020/02/01 20:21:19] - 7 	 415.8 	 	 139.7 	 	 0.0100 	 0.4953 	 0.8956 	 1.1251 	 	 0.6169 	 	 0.5577 	 0.8894 	 1.2264 	 	 0.6055
[2020/02/01 20:30:49] - 8 	 428.8 	 	 139.7 	 	 0.0100 	 0.4636 	 0.9043 	 1.0830 	 	 0.6304 	 	 0.5450 	 0.8883 	 1.2262 	 	 0.6025
[2020/02/01 20:40:17] - 9 	 427.6 	 	 139.9 	 	 0.0100 	 0.4380 	 0.9117 	 1.0484 	 	 0.6414 	 	 0.4751 	 0.8985 	 1.2089 	 	 0.6030
