[2020/02/04 15:45:26] - Namespace(attack='pgd', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=False, cutout_len=None, data_dir='../svhn-data', epochs=200, epsilon=128, eval=False, fgsm_alpha=1, fgsm_init='random', fname='experiments/svhn_standard_l2/preactresnet18_128', half=False, l1=0, l2=0, lr_max=0.01, lr_schedule='piecewise', mixup=False, mixup_alpha=None, model='PreActResNet18', norm='l_2', pgd_alpha=15.0, restarts=1, resume=0, seed=0, width_factor=10)
[2020/02/04 15:45:31] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2020/02/04 15:52:44] - Namespace(attack='pgd', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=False, cutout_len=None, data_dir='../svhn-data', epochs=200, epsilon=128, eval=False, fgsm_alpha=1, fgsm_init='random', fname='experiments/svhn_standard_l2/preactresnet18_128', half=False, l1=0, l2=0, lr_max=0.01, lr_schedule='piecewise', mixup=False, mixup_alpha=None, model='PreActResNet18', norm='l_2', pgd_alpha=15.0, restarts=1, resume=0, seed=0, width_factor=10)
[2020/02/04 15:52:49] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2020/02/04 15:53:54] - Namespace(attack='pgd', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=False, cutout_len=None, data_dir='../svhn-data', epochs=200, epsilon=128, eval=False, fgsm_alpha=1, fgsm_init='random', fname='experiments/svhn_standard_l2/preactresnet18_128', half=False, l1=0, l2=0, lr_max=0.01, lr_schedule='piecewise', mixup=False, mixup_alpha=None, model='PreActResNet18', norm='l_2', pgd_alpha=15.0, restarts=1, resume=0, seed=0, width_factor=10)
[2020/02/04 15:54:03] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2020/02/04 15:55:09] - Namespace(attack='pgd', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=False, cutout_len=None, data_dir='../svhn-data', epochs=200, epsilon=128, eval=False, fgsm_alpha=1, fgsm_init='random', fname='experiments/svhn_standard_l2/preactresnet18_128', half=False, l1=0, l2=0, lr_max=0.01, lr_schedule='piecewise', mixup=False, mixup_alpha=None, model='PreActResNet18', norm='l_2', pgd_alpha=15.0, restarts=1, resume=0, seed=0, width_factor=10)
[2020/02/04 15:55:18] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2020/02/04 16:07:32] - 0 	 562.0 	 	 172.1 	 	 0.0100 	 2.2302 	 0.1909 	 2.2615 	 	 0.1843 	 	 2.1155 	 0.2315 	 2.1746 	 	 0.2144
[2020/02/04 16:19:39] - 1 	 553.0 	 	 174.3 	 	 0.0100 	 0.9885 	 0.7070 	 1.3958 	 	 0.5148 	 	 0.4933 	 0.8733 	 0.9500 	 	 0.6779
[2020/02/04 16:31:53] - 2 	 554.0 	 	 179.2 	 	 0.0100 	 0.4078 	 0.9049 	 0.8768 	 	 0.6965 	 	 0.4496 	 0.8758 	 0.9020 	 	 0.6913
[2020/02/04 16:44:05] - 3 	 547.2 	 	 184.8 	 	 0.0100 	 0.3263 	 0.9262 	 0.7645 	 	 0.7365 	 	 0.3267 	 0.9203 	 0.8221 	 	 0.7177
